original_summary,predicted_summary
love love them, hot for mix
happy customer, hot for mix
fast food at home, hot for mix
double bagged, hot for mix
for tough chewers, hot for mix
addictive little cookie, hot for mix
tastes awful, hot for mix
product, hot for mix
delightful, hot for mix
very good gluten free pasta, hot for mix
delish, hot for mix
what confused me, hot for mix
great for kids, hot for mix
good but little too sweet, hot for mix
sauce, hot for mix
blech, hot for mix
excellent gift item, hot for mix
one of my favorite spices, hot for mix
amazing product, hot for mix
healthy and refreshing, hot for mix
love it, hot for mix
terrible beans, hot for mix
very flavorful, hot for mix
thank you, hot for mix
for company, hot for mix
stale, hot for mix
loves these, hot for mix
love it, hot for mix
popchips, hot for mix
love love this, hot for mix
love this tea, hot for mix
healthy and tasty, hot for mix
great quick cup of coffee, hot for mix
horrible, hot for mix
another awsome jerky, hot for mix
should have better, hot for mix
southern pecan coffee, hot for mix
no carb option, hot for mix
long lasting favorite, hot for mix
delicious, hot for mix
almonds, hot for mix
great product, hot for mix
delicious, hot for mix
simply superb, hot for mix
tasteless, hot for mix
great dr pepper product, hot for mix
good option, hot for mix
love at first bite, hot for mix
bit pricey, hot for mix
great sprouting, hot for mix
kind of gross, hot for mix
tea that works to clear all digestive, hot for mix
delicious, hot for mix
cocoa, hot for mix
very weak, hot for mix
love it, hot for mix
not as advertised, hot for mix
last forever, hot for mix
best and tortilla chips, hot for mix
best water ever, hot for mix
quite good, hot for mix
ok, hot for mix
made great, hot for mix
excellent, hot for mix
these are weird, hot for mix
love this coffee, hot for mix
mm tasty, hot for mix
great product but price keeps going up, hot for mix
pasta couscous, hot for mix
great taste keep me up, hot for mix
melted from, hot for mix
these are great, hot for mix
dog gone good, hot for mix
good product, hot for mix
false dont waste your money, hot for mix
very good, hot for mix
good flavor, hot for mix
disgusting, hot for mix
pistachio is pistachio is pistachio, hot for mix
sugar free gum, hot for mix
yum, hot for mix
my husband loves this product, hot for mix
great cereal, hot for mix
gluten free bread that actually tastes good, hot for mix
you need to try this, hot for mix
the best popcorn have ever tasted, hot for mix
sweet and sour pops got sweet pops, hot for mix
yum, hot for mix
tastes pretty good, hot for mix
incredible price, hot for mix
wonderful, hot for mix
an excellent product, hot for mix
great flavor, hot for mix
thai sticky sweet rice, hot for mix
very good, hot for mix
not happy, hot for mix
wolfgang puck dark roast, hot for mix
you just do not need the caffeine, hot for mix
delicious but purchase elsewhere, hot for mix
fun, hot for mix
great treat for my dog, hot for mix
kind chocolate cherry cashew, hot for mix
better then the big box store, hot for mix
it is of taste, hot for mix
disappointed, hot for mix
delicious just like salt and vinegar chips, hot for mix
great bargain great fruit very impressed, hot for mix
great big good tasting cup of coffee, hot for mix
not my cup of tea, hot for mix
cups work great coffee fantastic, hot for mix
best chocolate waffle have found, hot for mix
great and easy, hot for mix
tasty alternative to peanut butter, hot for mix
yum, hot for mix
love it, hot for mix
good chips, hot for mix
full flavored, hot for mix
product treat for dogs with allergy issues, hot for mix
honey almond flax granola kashi bars, hot for mix
best hot cocoa yet, hot for mix
delicious curry, hot for mix
zico water is the best, hot for mix
great price, hot for mix
remember bars, hot for mix
must have, hot for mix
good price good product, hot for mix
paris tea by harney sons, hot for mix
excellent sugar free cooked pudding, hot for mix
great package, hot for mix
best bean soup in bag, hot for mix
great product, hot for mix
classic candy gum very, hot for mix
refreshing and the chocolate, hot for mix
awesome, hot for mix
catnip, hot for mix
handy package for equal, hot for mix
scrumptious, hot for mix
wonderful, hot for mix
excellent quality assortment, hot for mix
sugar substitute, hot for mix
love these, hot for mix
perfect for our food allergy child, hot for mix
misleading, hot for mix
my dogs for more, hot for mix
perfect for stir fry, hot for mix
delicious, hot for mix
amazing, hot for mix
wow, hot for mix
really tasty, hot for mix
great for pops, hot for mix
best birthday gift loved by as well, hot for mix
delicious, hot for mix
yum, hot for mix
lemon drops, hot for mix
too good to pass up, hot for mix
yummy, hot for mix
yummy, hot for mix
price, hot for mix
macadamia nuts, hot for mix
tastes good, hot for mix
how can you go wrong, hot for mix
yummy, hot for mix
check you before you buy, hot for mix
dried blueberries, hot for mix
best green tea, hot for mix
use it as an, hot for mix
delicious, hot for mix
difference in my dog, hot for mix
favorite and great deal, hot for mix
as advertised, hot for mix
kona coffee review, hot for mix
not the same flavor, hot for mix
yummy, hot for mix
superb, hot for mix
the perfect snack, hot for mix
cups amazon, hot for mix
good bites skin coat, hot for mix
they are kind of gross, hot for mix
delish, hot for mix
tasty and timely, hot for mix
awful not as described not gummies, hot for mix
tasty but too sweet, hot for mix
best instant, hot for mix
coffee lover, hot for mix
very good, hot for mix
great flavor from, hot for mix
why do their organic foods contain, hot for mix
most rich cup yet on keurig, hot for mix
very good but little bland, hot for mix
the best, hot for mix
dogs it, hot for mix
very fragrant and potent, hot for mix
would buy again, hot for mix
where is the lime, hot for mix
great jam true wild mountain jam, hot for mix
it has msg, hot for mix
love them, hot for mix
love bar pop chips, hot for mix
bad product, hot for mix
love it, hot for mix
perfect, hot for mix
yuck, hot for mix
great chocolate and berry taste, hot for mix
coconut water, hot for mix
awesome and tasty, hot for mix
disappointed, hot for mix
idea but, hot for mix
dog loves them, hot for mix
amazing exotic flavor, hot for mix
bone dog treats pack, hot for mix
great item great customer service, hot for mix
good coffee to start off your day, hot for mix
why use color, hot for mix
pop chips love them, hot for mix
great with beer, hot for mix
horrible rubbery not at all like noodles, hot for mix
couscous thing, hot for mix
pure himalayan salt the healthy salt, hot for mix
not gluten free, hot for mix
high quality low carb, hot for mix
good memories, hot for mix
wonderful, hot for mix
kona blend, hot for mix
space saver does not well, hot for mix
great product no experience, hot for mix
not best for espresso, hot for mix
just okay, hot for mix
great taste, hot for mix
my favorite hot sauce, hot for mix
great, hot for mix
too close to expiration, hot for mix
average, hot for mix
satisfying, hot for mix
cookies for tea time, hot for mix
for boxes, hot for mix
best tortilla chips ever, hot for mix
not bad at all, hot for mix
satisfied, hot for mix
our dog loves these biscuits, hot for mix
favorite tea, hot for mix
for treats, hot for mix
tasty, hot for mix
best chips have ever tasted, hot for mix
pineapple, hot for mix
makes flavoring very easy, hot for mix
awesome stuff, hot for mix
wow amazing taste healthy wonderful meal replacement, hot for mix
the tin is more than the coffee, hot for mix
nasty after taste, hot for mix
beware, hot for mix
for box it is okay, hot for mix
great cocoa for the price, hot for mix
like in the mouth, hot for mix
dried whole ghost, hot for mix
yum, hot for mix
product, hot for mix
great, hot for mix
the best tea in the world, hot for mix
yum, hot for mix
yummy, hot for mix
great product, hot for mix
so nice to get of home, hot for mix
great tea, hot for mix
loved it, hot for mix
short and sweet, hot for mix
disappointed, hot for mix
amazing cookies, hot for mix
down flour, hot for mix
mint tea, hot for mix
awesome, hot for mix
smooth move really helps move, hot for mix
great as cookies, hot for mix
good product, hot for mix
fun decadent dessert, hot for mix
simply the best, hot for mix
not for peanut butter, hot for mix
great product, hot for mix
great value, hot for mix
yum, hot for mix
soothing after drink, hot for mix
adults love them too, hot for mix
great product great price, hot for mix
ginger tea, hot for mix
dog loves it, hot for mix
good product, hot for mix
lo carb pizza flavor snacks, hot for mix
excellent product, hot for mix
good strong coffee, hot for mix
pop chips on the go, hot for mix
great taste but cheaper at bed, hot for mix
better than being in, hot for mix
clean, hot for mix
will not eat anything else, hot for mix
yum, hot for mix
great product, hot for mix
love this stuff, hot for mix
smooth to the last drop, hot for mix
the best low carb too, hot for mix
delicious treats, hot for mix
real chocolate, hot for mix
tug jug lasts minutes, hot for mix
good with, hot for mix
perfect, hot for mix
paste in plastic, hot for mix
gluten free, hot for mix
wonderful, hot for mix
nice smooth bold brew, hot for mix
amazing, hot for mix
awesome, hot for mix
great toy for golden, hot for mix
hot chocolate, hot for mix
good healthy product, hot for mix
so yummy, hot for mix
will not well, hot for mix
probably little too big for the, hot for mix
weak flavor, hot for mix
more cups than expected, hot for mix
tasty, hot for mix
good coffee and less expensive, hot for mix
olive salad, hot for mix
tasty, hot for mix
the best market iced green tea, hot for mix
very nice tangy flavor, hot for mix
like most low carb snacks but, hot for mix
horrible not what expected, hot for mix
my loved these, hot for mix
totally addicting, hot for mix
choice seasoning, hot for mix
tasty, hot for mix
yuck, hot for mix
green mtn breakfast blend cups, hot for mix
an excellent dog training treat, hot for mix
good stuff, hot for mix
yumm gluten free or not, hot for mix
bold and beautiful, hot for mix
lab loves these chews, hot for mix
it is yoo hoo, hot for mix
amazing flavor, hot for mix
crunchy, hot for mix
if you like gummy white bread, hot for mix
yummy, hot for mix
healthy and at the time, hot for mix
surprisingly moist, hot for mix
for mom, hot for mix
dr kracker makes good variety of crackers, hot for mix
great taste, hot for mix
large black tea bags, hot for mix
sugar is the second, hot for mix
great energy, hot for mix
great coffee, hot for mix
greatest tasting water since, hot for mix
my new granola bar, hot for mix
bob, hot for mix
greenies yum, hot for mix
zuke mini naturals dog treats salmon, hot for mix
altoids spearmint mints, hot for mix
one great dip, hot for mix
meh, hot for mix
exotic pantry stuff pomegranate molasses, hot for mix
better than gluten filled, hot for mix
great coffee, hot for mix
good, hot for mix
great coffee, hot for mix
this tea is lovely all year long, hot for mix
for tea and coffee, hot for mix
review, hot for mix
info, hot for mix
so good so fruity, hot for mix
healthy snack, hot for mix
very good, hot for mix
great little pudding, hot for mix
fish tea, hot for mix
greenies for, hot for mix
organic prunes, hot for mix
do not buy it is addicting, hot for mix
coffee drink with kick, hot for mix
incredible addition for cooking, hot for mix
great for all dogs, hot for mix
our favorite, hot for mix
gold dust is awesome, hot for mix
will buy again, hot for mix
great product, hot for mix
pure and healthy without, hot for mix
good product, hot for mix
best cashews, hot for mix
the best gummy bears, hot for mix
product, hot for mix
cat treats, hot for mix
our dog loves these, hot for mix
delicious strong japanese black coffee candy, hot for mix
chocolate goji, hot for mix
best treat ever, hot for mix
peach, hot for mix
good lime taste, hot for mix
homemade goodness, hot for mix
sausage sticks, hot for mix
spread, hot for mix
surprisingly good, hot for mix
not to my taste, hot for mix
delicious, hot for mix
great and yummy, hot for mix
fun, hot for mix
good but not special, hot for mix
like it lot, hot for mix
nature variety dog food, hot for mix
sweet snack, hot for mix
tea, hot for mix
fantastic, hot for mix
country, hot for mix
healthy treat for dogs with allergies, hot for mix
worst bar ever, hot for mix
my pups love it, hot for mix
incorrect product, hot for mix
busy buddy, hot for mix
disappointed, hot for mix
these are spicy, hot for mix
my first subscription order received, hot for mix
soy chips expired, hot for mix
great product, hot for mix
spicy but good, hot for mix
steak it makes great gift, hot for mix
not as fresh as expected, hot for mix
not worth it, hot for mix
great buy, hot for mix
way cheaper at club or costco, hot for mix
great product bad price on here, hot for mix
best value, hot for mix
only tea cups, hot for mix
not great for making hot chocolate, hot for mix
the best, hot for mix
beautiful and yummy, hot for mix
can chicken, hot for mix
smoked paprika, hot for mix
we love it, hot for mix
too delicious, hot for mix
hands down favorite, hot for mix
sour coffee, hot for mix
savory, hot for mix
dog cookies, hot for mix
jello review, hot for mix
melted, hot for mix
made both of my dogs sick, hot for mix
great product even vendor, hot for mix
nice, hot for mix
service good product not as expected, hot for mix
amazing, hot for mix
tart cherry concentrate, hot for mix
place is amazon, hot for mix
this stuff is delicious, hot for mix
old goodness, hot for mix
my favorite cheese curls, hot for mix
dogs love them, hot for mix
product good seller bad, hot for mix
am glad can still buy this, hot for mix
like cheez its, hot for mix
amazing product to, hot for mix
can eat an box in day, hot for mix
great corn taste, hot for mix
not very good, hot for mix
best sun butter ever by far, hot for mix
spice it up, hot for mix
great deal on amazon with, hot for mix
fine but premium pricing, hot for mix
awesome, hot for mix
prefer this to regular brownies, hot for mix
hot, hot for mix
these are amazing, hot for mix
wonderful, hot for mix
love the tea, hot for mix
none such, hot for mix
would not buy it again, hot for mix
van houtte house blend, hot for mix
great cup of coffee, hot for mix
disappointed, hot for mix
great coffee for an espresso machine, hot for mix
cet dog chews, hot for mix
natural concentrate from china, hot for mix
great stuff, hot for mix
great gluten free brownies, hot for mix
flavors taste great, hot for mix
the perfect dog food, hot for mix
mm, hot for mix
no high fructose corn syrup, hot for mix
special, hot for mix
great treats, hot for mix
sprouting seeds, hot for mix
big flavor no calories, hot for mix
yummy and good for you too, hot for mix
great, hot for mix
disappointing, hot for mix
sweet and chewy, hot for mix
great price and quality product, hot for mix
yummy, hot for mix
disgusting artificial flavor, hot for mix
could not find these anywhere else, hot for mix
probably lbs from this bag, hot for mix
great variety, hot for mix
not really brand, hot for mix
popcorn, hot for mix
smooth taste not bitter, hot for mix
good tea but check for freshness, hot for mix
best tasting hot sauce, hot for mix
four leaf balsamic vinegar for good price, hot for mix
great stuff, hot for mix
love the scent, hot for mix
it is all about the convenience, hot for mix
grey decaf tea, hot for mix
great gift idea, hot for mix
it is ok, hot for mix
organic salad mix, hot for mix
quick and healthy, hot for mix
not worth the money, hot for mix
shipping, hot for mix
the best gluten free baking mix, hot for mix
tastes like water, hot for mix
the best, hot for mix
great taste, hot for mix
over priced, hot for mix
used to better, hot for mix
not bad, hot for mix
delicious and at great price, hot for mix
great tasting coffee, hot for mix
stuff, hot for mix
grow some grass man, hot for mix
great coffee, hot for mix
my favorite adult cereal, hot for mix
crackers for cheese, hot for mix
amazon has it it is the best, hot for mix
these are delicious, hot for mix
amazing, hot for mix
not just for baby food, hot for mix
great disposable cups, hot for mix
delicious and healthy, hot for mix
love this, hot for mix
highly, hot for mix
great product, hot for mix
best coffee ever, hot for mix
butter toffee lover, hot for mix
not bad good in oatmeal, hot for mix
not happy, hot for mix
it is delicious, hot for mix
tastes like the real thing, hot for mix
teenie lite greenies, hot for mix
check out beyond first, hot for mix
great as marinade, hot for mix
an excellent green tea, hot for mix
lemon ginger tea, hot for mix
my dog favorite treat, hot for mix
old broken and stale, hot for mix
classic, hot for mix
almond coconut vanilla, hot for mix
gummi bear heaven, hot for mix
not organic, hot for mix
best ever, hot for mix
quality product, hot for mix
excellent gum, hot for mix
do not like it, hot for mix
jalapeno heaven, hot for mix
excellent flavor, hot for mix
great awesome snacks, hot for mix
yumm, hot for mix
pure deliciousness, hot for mix
two paws up, hot for mix
moist and delicious great for weight, hot for mix
best of, hot for mix
delicious, hot for mix
good gum with out all the junk, hot for mix
eating it for years, hot for mix
english and tea, hot for mix
organic base, hot for mix
love it, hot for mix
yummy and good for us, hot for mix
melted bears, hot for mix
great coffee, hot for mix
vita coco, hot for mix
good, hot for mix
jiffy pop popcorn, hot for mix
good stuff, hot for mix
be bold, hot for mix
convenient, hot for mix
better than my starbucks, hot for mix
excellent tea with aroma, hot for mix
yummy, hot for mix
excellent, hot for mix
prefer the whole slices, hot for mix
good buy, hot for mix
love my kashi cereal, hot for mix
mm, hot for mix
pb, hot for mix
tasty, hot for mix
great product, hot for mix
yummy and nothing fake, hot for mix
these are awesome, hot for mix
love this treat, hot for mix
are an awesome treat for canine kids, hot for mix
did not like at all, hot for mix
mm good tea, hot for mix
crunchy good, hot for mix
pirate booty, hot for mix
these are great, hot for mix
delicious, hot for mix
best hot olives on the market, hot for mix
excellent, hot for mix
great product, hot for mix
amount of your milk, hot for mix
best price, hot for mix
cet chews, hot for mix
read the, hot for mix
great wine, hot for mix
great tea for bagged tea, hot for mix
very effective tea, hot for mix
wonderful, hot for mix
love disposakups, hot for mix
disappointed, hot for mix
poor customer service, hot for mix
cheap and not worth the price, hot for mix
great ingredients but dogs eat it, hot for mix
luv it, hot for mix
hot chocolate, hot for mix
just ok nothing special but dairy free, hot for mix
delicious english style tea, hot for mix
effective for water, hot for mix
favorite seasoning, hot for mix
not good, hot for mix
kid food, hot for mix
this is fine quality pure saffron, hot for mix
disappointed, hot for mix
best mustard ever, hot for mix
love this product works amazing, hot for mix
belly birthday, hot for mix
delicious and nutritious, hot for mix
food for my dog, hot for mix
dogs would not eat these, hot for mix
great cocoa, hot for mix
did not work for me, hot for mix
yummo am coffee, hot for mix
eating gluten free, hot for mix
dog dental checkups, hot for mix
disappointed, hot for mix
is great, hot for mix
looking to the treat, hot for mix
really good and great shelf life, hot for mix
not edible, hot for mix
last for days, hot for mix
yum delicious crackers, hot for mix
good coffee, hot for mix
best marzipan, hot for mix
medicine, hot for mix
extremely chocolately, hot for mix
well worth the wait, hot for mix
amazing, hot for mix
fig are not for, hot for mix
tooth treat, hot for mix
over priced and, hot for mix
the best tea ever, hot for mix
delicious, hot for mix
use, hot for mix
delish, hot for mix
mom loved it, hot for mix
excellent, hot for mix
not watermelon, hot
great oolong shot, hot for mix
good vanilla coffee, hot for mix
nice bread, hot for mix
love this flavor, hot for mix
tea, hot for mix
love it, hot for mix
great coffee, hot for mix
sf bay cup, hot for mix
great as is, hot for mix
wonderful flavor, hot for mix
overpriced and over roasted, hot for mix
healthy yummy, hot for mix
coffee pods, hot for mix
disappointing, hot for mix
lindt truffles, hot for mix
little stale, hot for mix
poor, hot for mix
delicious, hot for mix
tastes great, hot for mix
biscuits, hot for mix
tart cherries, hot for mix
makes you sick, hot for mix
good eating, hot for mix
coffee flavoring, hot for mix
great snack, hot for mix
same price in, hot for mix
great product, hot for mix
starbucks at home, hot for mix
great coffee, hot for mix
best tea bags you can buy, hot for mix
coffee beans, hot for mix
prompt delivery, hot for mix
is the best, hot for mix
sweet, hot for mix
smells good, hot for mix
fantastic ketchup, hot for mix
yummy, hot for mix
my dog loves liver, hot for mix
san francisco bay coffee, hot for mix
twix king package little old, hot for mix
best sauce around, hot for mix
great product but could be little cheaper, hot for mix
tasty blend, hot for mix
my cats this, hot for mix
flavor wish it had longer shelf life, hot for mix
want my money back, hot for mix
the least sweet energy bars have found, hot for mix
lifesavers, hot for mix
it is none, hot for mix
tea for the summer, hot for mix
great coffee but, hot for mix
just what we were looking for, hot for mix
dogs love them, hot for mix
cookie, hot for mix
super ginger taste, hot for mix
pb powdered peanut butter, hot for mix
ok but little sweet, hot for mix
fun new to me product, hot for mix
truffle cream, hot for mix
dog approved, hot for mix
not so tasty, hot for mix
much blend than the original, hot for mix
picky, hot for mix
delicious and healthy yay, hot for mix
almost like the real thing, hot for mix
good stuff, hot for mix
not lab durable, hot for mix
excellent product, hot for mix
decaf option mild flavor, hot for mix
great way to buy this product, hot for mix
pb, hot for mix
deceptive, hot for mix
easy taco night, hot for mix
poor packaging for liquid items, hot for mix
so yummy, hot for mix
flavor, hot for mix
directions say to, hot for mix
another thumbs up for, hot for mix
love the sugar cookies, hot for mix
wonderful coffee, hot for mix
my dogs love these, hot for mix
addictive, hot for mix
disappointed, hot for mix
smells pretty bad, hot for mix
cajun jerky, hot for mix
little bit of dessert in every bottle, hot for mix
yum, hot for mix
are you people even the right thing, hot for mix
what my dogs have to say, hot for mix
great stuff, hot for mix
good coffee, hot for mix
hot chips, hot for mix
not bad, hot for mix
syrup pump, hot for mix
works great, hot for mix
quality, hot for mix
really like this coffee, hot for mix
fantastic, hot for mix
yummy, hot for mix
best flavor, hot for mix
for no big deal popcorn, hot for mix
new favorite coffee, hot for mix
honey, hot for mix
too sweet, hot for mix
not that great, hot for mix
not has fish oil and, hot for mix
very good chips, hot for mix
organic good deal for money heart health, hot for mix
it is not organic, hot for mix
it is not easy being cheesy, hot for mix
great treat for dogs, hot for mix
