original_summary,predicted_summary
pistachio is pistachio is pistachio, good but not great
sugar free gum, great product
yum, best oil
my husband loves this product, good stuff
great cereal, great
gluten free bread that actually tastes good, great gluten free pasta
you need to try this, great product
the best popcorn have ever tasted, great popcorn
sweet and sour pops got sweet pops, not as advertised
yum, great taste
tastes pretty good, not as good as expected
incredible price, great product
wonderful, great syrup
an excellent product, great
great flavor, great taste
thai sticky sweet rice, great rice
very good, great tea
not happy, great product
wolfgang puck dark roast, not bad
you just do not need the caffeine, great coffee
delicious but purchase elsewhere, great product
fun, great for
great treat for my dog, great product
kind chocolate cherry cashew, great taste
better then the big box store, not what expected
it is of taste, good coffee
disappointed, good but not the best
delicious just like salt and vinegar chips, great snack
great bargain great fruit very impressed, great product
great big good tasting cup of coffee, great coffee
not my cup of tea, not as good as hoped
cups work great coffee fantastic, great coffee
best chocolate waffle have found, best sauce ever
great and easy, great gluten free snack
tasty alternative to peanut butter, great taste
yum, great popcorn
love it, great product
good chips, great chips
full flavored, great coffee
product treat for dogs with allergy issues, great for training
honey almond flax granola kashi bars, great snack
best hot cocoa yet, great hot cocoa
delicious curry, not as pictured
zico water is the best, great product
great price, great product
remember bars, great snack
must have, best popcorn ever
good price good product, great product
paris tea by harney sons, great tea
excellent sugar free cooked pudding, great product
great package, great for
best bean soup in bag, great
great product, good product
classic candy gum very, great product
refreshing and the chocolate, great taste
awesome, great taste
catnip, cat food
handy package for equal, great coffee
scrumptious, great taste
wonderful, great for training
excellent quality assortment, great product
sugar substitute, good stuff
love these, great snack
perfect for our food allergy child, great for
misleading, not as advertised
my dogs for more, great for training
perfect for stir fry, great product
delicious, great product
amazing, great taste
wow, great tasting snack
really tasty, great snack
great for pops, great product
best birthday gift loved by as well, great gift
delicious, best
yum, great snack
lemon drops, great product
too good to pass up, not bad
yummy, great snack
yummy, great snack
price, great product
macadamia nuts, great taste
tastes good, great
how can you go wrong, great product
yummy, great taste
check you before you buy, good product
dried blueberries, great product
best green tea, great tea
use it as an, great
delicious, great taste
difference in my dog, great for dogs
favorite and great deal, great coffee
as advertised, great product
kona coffee review, good coffee
not the same flavor, not as good as
yummy, great product
superb, great tea
the perfect snack, great
cups amazon, great coffee
good bites skin coat, great for training
they are kind of gross, not as good as expected
delish, great for
tasty and timely, great
awful not as described not gummies, not as advertised
tasty but too sweet, not as good as expected
best instant, best chocolate
coffee lover, great coffee
very good, great tea
great flavor from, great coffee
why do their organic foods contain, great product
most rich cup yet on keurig, great coffee
very good but little bland, great taste
the best, great product
dogs it, dogs love them
very fragrant and potent, great tea
would buy again, great product
where is the lime, not bad
great jam true wild mountain jam, great popcorn
it has msg, not as advertised
love them, great snack
love bar pop chips, great snack
bad product, not what expected
love it, great taste
perfect, great for
yuck, great taste
great chocolate and berry taste, great taste
coconut water, great product
awesome and tasty, great
disappointed, not so good
idea but, great product
dog loves them, great food
amazing exotic flavor, best jerky ever
bone dog treats pack, great product
great item great customer service, best sauce
good coffee to start off your day, great coffee
why use color, great product
pop chips love them, great snack
great with beer, great product
horrible rubbery not at all like noodles, great chocolate
couscous thing, great product
pure himalayan salt the healthy salt, great product
not gluten free, great gluten free snack
high quality low carb, great taste
good memories, great snack
wonderful, great snack
kona blend, great coffee
space saver does not well, good but not for
great product no experience, great popcorn
not best for espresso, great coffee
just okay, not bad
great taste, great product
my favorite hot sauce, great taste
great, great product
too close to expiration, not what expected
average, great coffee
satisfying, great coffee
cookies for tea time, great cookies
for boxes, not what expected
best tortilla chips ever, great chips
not bad at all, great product
satisfied, great product
our dog loves these biscuits, great product
favorite tea, great tea
for treats, great food
tasty, cat food
best chips have ever tasted, great chips
pineapple, great taste
makes flavoring very easy, great product
awesome stuff, great product
wow amazing taste healthy wonderful meal replacement, great snack
the tin is more than the coffee, good coffee
nasty after taste, not so good
beware, not as advertised
for box it is okay, good stuff
great cocoa for the price, great coffee
like in the mouth, not bad
dried whole ghost, great
yum, great for
product, great product
great, great product
the best tea in the world, great product
yum, great coffee
yummy, best rice ever
great product, great product
so nice to get of home, great
great tea, great tea
loved it, great product
short and sweet, great taste
disappointed, cat food
amazing cookies, great tasting snack
down flour, great product
mint tea, great tea
awesome, great product
smooth move really helps move, great tea
great as cookies, great taste
good product, great product
fun decadent dessert, good
simply the best, great tasting
not for peanut butter, not as good as
great product, great product
great value, great for dogs
yum, great product
soothing after drink, refreshing
adults love them too, great snack
great product great price, great product
ginger tea, great tea
dog loves it, great for dog food
good product, great product
lo carb pizza flavor snacks, good but not great
excellent product, great product
good strong coffee, great coffee
pop chips on the go, great chips
great taste but cheaper at bed, great coffee
better than being in, best
clean, great for your dog
will not eat anything else, cat food
yum, great snack
great product, great product
love this stuff, great product
smooth to the last drop, great coffee
the best low carb too, best hot sauce
delicious treats, dogs love them
real chocolate, not bad
tug jug lasts minutes, not what expected
good with, great taste
perfect, delicious
paste in plastic, not as good as other brands
gluten free, great product
wonderful, great taste
nice smooth bold brew, great coffee
amazing, great chocolate
awesome, great taste
great toy for golden, great for dogs
hot chocolate, good coffee
good healthy product, great product
so yummy, great snack
will not well, great coffee
probably little too big for the, great product
weak flavor, great taste
more cups than expected, great product
tasty, great chips
good coffee and less expensive, good coffee
olive salad, great product
tasty, great for the price
the best market iced green tea, great tea
very nice tangy flavor, great
like most low carb snacks but, just like the real thing
horrible not what expected, great coffee
my loved these, great coffee
totally addicting, great taste
choice seasoning, best olive oil
tasty, great product
yuck, not bad
green mtn breakfast blend cups, great coffee
an excellent dog training treat, great for training
good stuff, best
yumm gluten free or not, great gluten free snack
bold and beautiful, great coffee
lab loves these chews, great product
it is yoo hoo, not bad
amazing flavor, best flavor
crunchy, great chips
if you like gummy white bread, great taste
yummy, best chocolate ever
healthy and at the time, great product
surprisingly moist, great tasting
for mom, great gift
dr kracker makes good variety of crackers, great taste
great taste, great popcorn
large black tea bags, good product
sugar is the second, not bad
great energy, great product
great coffee, great coffee
greatest tasting water since, good but not great
my new granola bar, great snack
bob, great product
greenies yum, great for training
zuke mini naturals dog treats salmon, great for training
altoids spearmint mints, great product
one great dip, best ever
meh, not as good as hoped
exotic pantry stuff pomegranate molasses, great product
better than gluten filled, great product
great coffee, great coffee
good, great food
great coffee, great coffee
this tea is lovely all year long, great tea
for tea and coffee, great tea
review, great product
info, not as good as hoped
so good so fruity, not the best
healthy snack, great snack
very good, not for
great little pudding, great product
fish tea, great tea
greenies for, great snack
organic prunes, great
do not buy it is addicting, great
coffee drink with kick, great taste
incredible addition for cooking, great
great for all dogs, great product
our favorite, great coffee
gold dust is awesome, great product
will buy again, good but not bad
great product, great product
pure and healthy without, best
good product, great product
best cashews, good
the best gummy bears, great product
product, great product
cat treats, great for your dog
our dog loves these, great for training
delicious strong japanese black coffee candy, good coffee
chocolate goji, not bad
best treat ever, great for training
peach, not bad
good lime taste, great taste
homemade goodness, great
sausage sticks, good stuff
spread, not bad
surprisingly good, great snack
not to my taste, not bad
delicious, great product
great and yummy, great for
fun, not so good
good but not special, good coffee
like it lot, great product
nature variety dog food, great for dogs
sweet snack, great taste
tea, great product
fantastic, great product
country, good stuff
healthy treat for dogs with allergies, great for training
worst bar ever, not bad
my pups love it, great for training
incorrect product, not what expected
busy buddy, great food
disappointed, not as advertised
these are spicy, not as good as expected
my first subscription order received, great taste
soy chips expired, stale
great product, great snack
spicy but good, great taste
steak it makes great gift, great product
not as fresh as expected, not what expected
not worth it, great product
great buy, great product
way cheaper at club or costco, great product
great product bad price on here, great taste
best value, great product
only tea cups, great tea
not great for making hot chocolate, not so good
the best, great taste
beautiful and yummy, great
can chicken, great taste
smoked paprika, good stuff
we love it, great
too delicious, great taste
hands down favorite, good stuff
sour coffee, great coffee
savory, great taste
dog cookies, great for training
jello review, great product
melted, cookies
made both of my dogs sick, not for
great product even vendor, great product
nice, good coffee
service good product not as expected, great product
amazing, great product
tart cherry concentrate, great product
place is amazon, great product
this stuff is delicious, great product
old goodness, great product
my favorite cheese curls, great taste
dogs love them, great for dogs
product good seller bad, great
am glad can still buy this, great tea
like cheez its, great product
amazing product to, great product
can eat an box in day, great snack
great corn taste, great taste
not very good, good but not great
best sun butter ever by far, great product
spice it up, great product
great deal on amazon with, great product
fine but premium pricing, good stuff
awesome, great food
prefer this to regular brownies, best olive oil
hot, great
these are amazing, great snack
wonderful, great popcorn
love the tea, great tea
none such, great product
would not buy it again, not for
van houtte house blend, not bad
great cup of coffee, great coffee
disappointed, great product
great coffee for an espresso machine, great coffee
cet dog chews, great for dogs
natural concentrate from china, not for dogs
great stuff, great gluten free pasta
great gluten free brownies, great gluten free pasta
flavors taste great, not what expected
the perfect dog food, great for training
mm, good stuff
no high fructose corn syrup, great taste
special, great product
great treats, great for your dog
sprouting seeds, not what expected
big flavor no calories, great taste
yummy and good for you too, dogs love them
great, good stuff
disappointing, great tea
sweet and chewy, great product
great price and quality product, great product
yummy, great
disgusting artificial flavor, not bad
could not find these anywhere else, great
probably lbs from this bag, great food
great variety, great product
not really brand, not as good as
popcorn, great popcorn
smooth taste not bitter, great coffee
good tea but check for freshness, great tea
best tasting hot sauce, great taste
four leaf balsamic vinegar for good price, great product
great stuff, great product
love the scent, great product
it is all about the convenience, great product
grey decaf tea, great tea
great gift idea, great gift
it is ok, not bad
organic salad mix, great product
quick and healthy, great taste
not worth the money, not as advertised
shipping, not as advertised
the best gluten free baking mix, great gluten free pasta
tastes like water, not bad
the best, great tea
great taste, great taste
over priced, great product
used to better, not as advertised
not bad, great chocolate
delicious and at great price, great
great tasting coffee, great coffee
stuff, not bad
grow some grass man, great food
great coffee, great coffee
my favorite adult cereal, great snack
crackers for cheese, not as good as bad
amazon has it it is the best, great syrup
these are delicious, great gluten free snack
amazing, best
not just for baby food, great food
great disposable cups, great coffee
delicious and healthy, great snack
love this, great product
highly, great taste
great product, good product
best coffee ever, great coffee
butter toffee lover, great product
not bad good in oatmeal, great product
not happy, not what expected
it is delicious, best seasoning ever
tastes like the real thing, great product
teenie lite greenies, great for training
check out beyond first, great product
great as marinade, great product
an excellent green tea, great tea
lemon ginger tea, great tea
my dog favorite treat, great for training
old broken and stale, not as advertised
classic, great product
almond coconut vanilla, great cocoa
gummi bear heaven, great product
not organic, great food
best ever, best
quality product, great product
excellent gum, great product
do not like it, great
jalapeno heaven, great chips
excellent flavor, great tea
great awesome snacks, great snack
yumm, great tea
pure deliciousness, great product
two paws up, great for dogs
moist and delicious great for weight, great tasting
best of, great
delicious, great syrup
good gum with out all the junk, great gum
eating it for years, best rice
english and tea, great tea
organic base, not as advertised
love it, great product
yummy and good for us, great
melted bears, great food
great coffee, best
vita coco, great product
good, great product
jiffy pop popcorn, great product
good stuff, great coffee
be bold, great taste
convenient, great for
better than my starbucks, great coffee
excellent tea with aroma, great tea
yummy, great taste
excellent, great tea
prefer the whole slices, good but not great
good buy, great product
love my kashi cereal, great snack
mm, great
pb, great snack
tasty, not my favorite
great product, great for dogs
yummy and nothing fake, great taste
these are awesome, chocolate
love this treat, great for training
are an awesome treat for canine kids, great for training
did not like at all, not bad
mm good tea, great tea
crunchy good, cat treats
pirate booty, great
these are great, great for dogs
delicious, great coffee
best hot olives on the market, great
excellent, great
great product, great product
amount of your milk, great product
best price, great product
cet chews, dogs love them
read the, great product
great wine, great stuff
great tea for bagged tea, great tea
very effective tea, great tea
wonderful, not as good as
love disposakups, great coffee
disappointed, not what expected
poor customer service, great product
cheap and not worth the price, great product
great ingredients but dogs eat it, dogs love it
luv it, great
hot chocolate, not hot chocolate
just ok nothing special but dairy free, not bad
delicious english style tea, great tea
effective for water, good product
favorite seasoning, best sauce
not good, not bad
kid food, great
this is fine quality pure saffron, great product
disappointed, not bad
best mustard ever, best rice ever
love this product works amazing, great product
belly birthday, great product
delicious and nutritious, great taste
food for my dog, great food
dogs would not eat these, dogs love it
great cocoa, hot cocoa
did not work for me, not what expected
yummo am coffee, great coffee
eating gluten free, great gluten free snack
dog dental checkups, great product
disappointed, not bad
is great, great
looking to the treat, great product
really good and great shelf life, great product
not edible, not as advertised
last for days, not for
yum delicious crackers, great taste
good coffee, great coffee
best marzipan, great product
medicine, not as good as hoped
extremely chocolately, not bad
well worth the wait, good but not great
amazing, best ever
fig are not for, great taste
tooth treat, great for
over priced and, great coffee
the best tea ever, great tea
delicious, great taste
use, great product
delish, great
mom loved it, great for
excellent, great snack
not watermelon, not what expected
great oolong shot, great tea
good vanilla coffee, great coffee
nice bread, great product
love this flavor, not as good as hoped
tea, not bad
love it, great food
great coffee, great coffee
sf bay cup, great coffee
great as is, great cereal
wonderful flavor, good stuff
overpriced and over roasted, great coffee
healthy yummy, great snack
coffee pods, great coffee
disappointing, not as advertised
lindt truffles, good chocolate
little stale, not what expected
poor, not good
delicious, great taste
tastes great, great for
biscuits, great taste
tart cherries, great product
makes you sick, great product
good eating, great product
coffee flavoring, great coffee
great snack, great snack
same price in, great coffee
great product, great syrup
starbucks at home, great coffee
great coffee, great coffee
best tea bags you can buy, not what expected
coffee beans, great coffee
prompt delivery, great product
is the best, great coffee
sweet, refreshing
smells good, not bad
fantastic ketchup, best hot sauce
yummy, great snack
my dog loves liver, great for dogs
san francisco bay coffee, great coffee
twix king package little old, great product
best sauce around, great product
great product but could be little cheaper, great product
tasty blend, great coffee
my cats this, great food
flavor wish it had longer shelf life, great flavor
want my money back, not as advertised
the least sweet energy bars have found, good but not great
lifesavers, great product
it is none, it is ok
tea for the summer, great tea
great coffee but, great tea
just what we were looking for, great product
dogs love them, great for dogs
cookie, great taste
super ginger taste, great taste
pb powdered peanut butter, great snack
ok but little sweet, not so good
fun new to me product, great product
truffle cream, best ever
dog approved, great product
not so tasty, great product
much blend than the original, great tea
picky, not for dogs
delicious and healthy yay, great snack
almost like the real thing, great taste
good stuff, great taste
not lab durable, great food
excellent product, great product
decaf option mild flavor, great coffee
great way to buy this product, cats love it
pb, great
deceptive, great product
easy taco night, great taste
poor packaging for liquid items, not as advertised
so yummy, great taste
flavor, not bad
directions say to, good stuff
another thumbs up for, cat food
love the sugar cookies, great tasting snack
wonderful coffee, great coffee
my dogs love these, great for dogs
addictive, great product
disappointed, great chips
smells pretty bad, not what expected
cajun jerky, great for
little bit of dessert in every bottle, best flavor
yum, great product
are you people even the right thing, good stuff
what my dogs have to say, great for training
great stuff, great product
good coffee, great coffee
hot chips, great taste
not bad, not good
syrup pump, great product
works great, great product
quality, great taste
really like this coffee, great coffee
fantastic, great coffee
yummy, great gluten free snack
best flavor, great tea
for no big deal popcorn, not what expected
new favorite coffee, great coffee
honey, great product
too sweet, not bad
not that great, great product
not has fish oil and, great product
very good chips, great taste
organic good deal for money heart health, great product
it is not organic, not what expected
it is not easy being cheesy, good stuff
great treat for dogs, great for training
