original_summary,predicted_summary
yummy, great peanut butter
yummy, great snack
price, not my baby loves these
macadamia nuts, good but pricey
tastes good, great
how can you go wrong, great price
yummy, great tasting
check you before you buy, great product
dried blueberries, great product
best green tea, great tea
use it as an, great for milk
delicious, great tasting
difference in my dog, great treat
favorite and great deal, great coffee
as advertised, does not work for me
kona coffee review, not bad
not the same flavor, not so good
yummy, great product
superb, great tea
the perfect snack, great snack
cups amazon, good coffee
good bites skin coat, great dog food
they are kind of gross, baby loves it
delish, baby loves it
tasty and timely, great deal
awful not as described not gummies, not as described
tasty but too sweet, not as good as hoped
best instant, best chocolate ever
coffee lover, great coffee
very good, great tea
great flavor from, great coffee
why do their organic foods contain, great for
most rich cup yet on keurig, great coffee
very good but little bland, great snack
the best, great tasting
dogs it, dogs love them
very fragrant and potent, great tea
would buy again, great
where is the lime, not bad
great jam true wild mountain jam, best coffee ever
it has msg, not bad
love them, great for breakfast
love bar pop chips, great snack
bad product, not as advertised
love it, love it
perfect, great for
yuck, not so good
great chocolate and berry taste, great chocolate
coconut water, great taste
awesome and tasty, great
disappointed, not so good
idea but, dog treats
dog loves them, great cat food
amazing exotic flavor, great taste
bone dog treats pack, great dog food
great item great customer service, great product
good coffee to start off your day, good coffee
why use color, great product
pop chips love them, great snack
great with beer, great soup
horrible rubbery not at all like noodles, not bad
couscous thing, great product
pure himalayan salt the healthy salt, great salt
not gluten free, not gluten free
high quality low carb, good
good memories, yummy
wonderful, great snack
kona blend, great coffee
space saver does not well, not what expected
great product no experience, great popcorn
not best for espresso, great coffee
just okay, not bad
great taste, great taste
my favorite hot sauce, the best
great, great product
too close to expiration, not happy
average, great product
satisfying, great coffee
cookies for tea time, cookies
for boxes, not as advertised
best tortilla chips ever, great chips
not bad at all, great
satisfied, great product
our dog loves these biscuits, great dog food
favorite tea, great tea
for treats, great cat food
tasty, great cat food
best chips have ever tasted, great chips
pineapple, great taste
makes flavoring very easy, great product
awesome stuff, great stuff
wow amazing taste healthy wonderful meal replacement, great for breakfast
the tin is more than the coffee, not so good
nasty after taste, not so good
beware, not as advertised
for box it is okay, not the same
great cocoa for the price, great cocoa
like in the mouth, not bad
dried whole ghost, great
yum, great for the go
product, great product
great, poor quality
the best tea in the world, great product
yum, great coffee
yummy, great tasting
great product, great product
so nice to get of home, not as advertised
great tea, great tea
loved it, great popcorn
short and sweet, great chips
disappointed, cats love it
amazing cookies, great cookies
down flour, great product
mint tea, great tea
awesome, best tasting
smooth move really helps move, great tea
great as cookies, great chocolate
good product, great product
fun decadent dessert, great chocolate
simply the best, best chocolate ever
not for peanut butter, great tasting
great product, great taste
great value, great dog food
yum, great popcorn
soothing after drink, great tasting
adults love them too, great snack for the price
great product great price, great product
ginger tea, not what expected
dog loves it, dog loves them
good product, great product
lo carb pizza flavor snacks, not good
excellent product, not as pictured
good strong coffee, good coffee
pop chips on the go, great chips
great taste but cheaper at bed, great coffee
better than being in, great soup
clean, great food
will not eat anything else, my cats love this
yum, great for
great product, dog loves them
love this stuff, great seasoning
smooth to the last drop, great coffee
the best low carb too, great sauce
delicious treats, great treats
real chocolate, chocolate chocolate
tug jug lasts minutes, not durable
good with, great tasting bar
perfect, delicious
paste in plastic, not bad
gluten free, great tasting
wonderful, great
nice smooth bold brew, great coffee
amazing, best chocolate ever
awesome, great chips
great toy for golden, not for chewer
hot chocolate, great chocolate
good healthy product, great product
so yummy, yummy
will not well, great coffee
probably little too big for the, dog loves it
weak flavor, not the best
more cups than expected, great coffee
tasty, great chips
good coffee and less expensive, great coffee
olive salad, great product
tasty, great
the best market iced green tea, best tea ever
very nice tangy flavor, great tasting
like most low carb snacks but, tasty but salty
horrible not what expected, not the best
my loved these, great coffee
totally addicting, not as good as the others
choice seasoning, great seasoning
tasty, great taste
yuck, not bad
green mtn breakfast blend cups, great coffee
an excellent dog training treat, great for
good stuff, great
yumm gluten free or not, great gluten free cookies
bold and beautiful, great coffee
lab loves these chews, great dog food
it is yoo hoo, not so good
amazing flavor, great sugar free
crunchy, great chips
if you like gummy white bread, great product
yummy, delicious
healthy and at the time, great taste
surprisingly moist, great tasting bar
for mom, great gift
dr kracker makes good variety of crackers, great
great taste, great popcorn
large black tea bags, great product
sugar is the second, great tasting
great energy, great energy
great coffee, great coffee
greatest tasting water since, great tasting
my new granola bar, great snack for bar
bob, great product
greenies yum, great dog food
zuke mini naturals dog treats salmon, great treats
altoids spearmint mints, great
one great dip, great
meh, not bad
exotic pantry stuff pomegranate molasses, great product
better than gluten filled, great tasting
great coffee, great coffee
good, good dog food
great coffee, great coffee
this tea is lovely all year long, great tasting tea
for tea and coffee, great product
review, great product
info, chocolate
so good so fruity, great tea
healthy snack, great snack for the price
very good, baby loves it
great little pudding, great product
fish tea, not so good
greenies for, dog loves them
organic prunes, great snack
do not buy it is addicting, great
coffee drink with kick, good taste
incredible addition for cooking, great for cooking
great for all dogs, great dog food
our favorite, great coffee
gold dust is awesome, great product
will buy again, not bad
great product, great product
pure and healthy without, best coconut water
good product, great product
best cashews, delicious
the best gummy bears, haribo gummi bears
product, great product
cat treats, great treats
our dog loves these, dog loves them
delicious strong japanese black coffee candy, not so good
chocolate goji, great taste
best treat ever, great treat
peach, not so good
good lime taste, great snack
homemade goodness, great
sausage sticks, not bad
spread, not bad
surprisingly good, great cereal
not to my taste, not bad
delicious, great
great and yummy, great for
fun, not as advertised
good but not special, good coffee
like it lot, good product
nature variety dog food, great dog food
sweet snack, great snack
tea, great product
fantastic, the best
country, good product
healthy treat for dogs with allergies, great for training
worst bar ever, not bad
my pups love it, great treat
incorrect product, does not work for me
busy buddy, great dog food
disappointed, not as advertised
these are spicy, not as good as the
my first subscription order received, good but not great
soy chips expired, not bad
great product, great tasting snack
spicy but good, spicy spicy spicy
steak it makes great gift, great gift
not as fresh as expected, not as advertised
not worth it, dog food
great buy, great product
way cheaper at club or costco, great product
great product bad price on here, great taste
best value, great product
only tea cups, great tea
not great for making hot chocolate, great hot chocolate
the best, best ever
beautiful and yummy, great
can chicken, great
smoked paprika, not too sweet
we love it, great
too delicious, great for kids
hands down favorite, great
sour coffee, great coffee
savory, great cookies
dog cookies, great treat
jello review, great flavor
melted, great chips
made both of my dogs sick, not for chewer
great product even vendor, great product
nice, good coffee
service good product not as expected, dog food
amazing, excellent
tart cherry concentrate, great product
place is amazon, great product
this stuff is delicious, great
old goodness, best mustard ever
my favorite cheese curls, yummy
dogs love them, my dog loves these
product good seller bad, great
am glad can still buy this, great tea
like cheez its, not as described
amazing product to, great
can eat an box in day, great snack for the
great corn taste, great cereal
not very good, good but not great
best sun butter ever by far, great taste
spice it up, great sauce
great deal on amazon with, great price
fine but premium pricing, not what expected
awesome, great dog food
prefer this to regular brownies, great tasting
hot, great
these are amazing, great for school
wonderful, great popcorn
love the tea, great tea
none such, great product
would not buy it again, good stuff
van houtte house blend, not so good
great cup of coffee, great coffee
disappointed, not my favorite
great coffee for an espresso machine, great coffee
cet dog chews, great for training
natural concentrate from china, dog loves it
great stuff, great product
great gluten free brownies, great tasting
flavors taste great, not what expected
the perfect dog food, great for dogs
mm, not as good as hoped
no high fructose corn syrup, great taste
special, great cereal
great treats, dog treats
sprouting seeds, good but not great
big flavor no calories, not bad
yummy and good for you too, great treats
great, great product
disappointing, not what expected
sweet and chewy, great tasting
great price and quality product, great syrup
yummy, great flavor
disgusting artificial flavor, coconut water
could not find these anywhere else, yummy
probably lbs from this bag, great gift for
great variety, great product
not really brand, not what expected
popcorn, great popcorn
smooth taste not bitter, great coffee
good tea but check for freshness, good tea
best tasting hot sauce, great sauce
four leaf balsamic vinegar for good price, great
great stuff, great gift
love the scent, coconut water
it is all about the convenience, great product
grey decaf tea, great tea
great gift idea, great gift for great gift
it is ok, great snack
organic salad mix, not as pictured
quick and healthy, great noodles
not worth the money, not as pictured
shipping, not as pictured
the best gluten free baking mix, great gluten free pasta
tastes like water, not so good
the best, great tea
great taste, great taste
over priced, great taste
used to better, great for
not bad, not as good as hoped
delicious and at great price, great flavor
great tasting coffee, great coffee
stuff, tastes like juice
grow some grass man, great product
great coffee, great coffee
my favorite adult cereal, great cereal
crackers for cheese, great cookies
amazon has it it is the best, best maple syrup ever
these are delicious, great for gluten free
amazing, best mustard ever
not just for baby food, baby food
great disposable cups, great coffee
delicious and healthy, great snack for bar
love this, great for milk
highly, great tasting snack
great product, great product
best coffee ever, great coffee
butter toffee lover, great coffee
not bad good in oatmeal, great taste
not happy, great service
it is delicious, great sauce
tastes like the real thing, great gluten free pasta
teenie lite greenies, great for teeth
check out beyond first, great product
great as marinade, great product
an excellent green tea, great tea
lemon ginger tea, great tea
my dog favorite treat, my dog loves these
old broken and stale, stale
classic, great
almond coconut vanilla, great tasting
gummi bear heaven, baby loves it
not organic, dog food
best ever, best ever
quality product, great product
excellent gum, ginger gum
do not like it, great cereal
jalapeno heaven, great chips
excellent flavor, great tea
great awesome snacks, great snack
yumm, great tea
pure deliciousness, great pasta
two paws up, dogs love them
moist and delicious great for weight, great tasting
best of, great
delicious, great flavor
good gum with out all the junk, gum
eating it for years, great rice
english and tea, great tea
organic base, not what expected
love it, great product
yummy and good for us, great snack
melted bears, gummi bears
great coffee, great flavor
vita coco, great product
good, great gift
jiffy pop popcorn, great product
good stuff, chocolate lovers
be bold, great taste
convenient, great for kids
better than my starbucks, great coffee
excellent tea with aroma, great tea
yummy, great
excellent, great tea
prefer the whole slices, great taste
good buy, great product
love my kashi cereal, great cereal
mm, best ever
pb, great for peanut butter
tasty, great taste
great product, dog loves them
yummy and nothing fake, great snack
these are awesome, great chocolate
love this treat, my dog loves these
are an awesome treat for canine kids, great for training
did not like at all, not bad
mm good tea, great tea
crunchy good, my cats love these
pirate booty, yummy
these are great, great for dogs
delicious, great coffee
best hot olives on the market, great flavor
excellent, great
great product, great olive oil
amount of your milk, great for milk
best price, great product
cet chews, great product
read the, great product
great wine, great tasting
great tea for bagged tea, great tea
very effective tea, great tea
wonderful, not so good
love disposakups, great coffee
disappointed, not as good as the
poor customer service, not as advertised
cheap and not worth the price, not as pictured
great ingredients but dogs eat it, dogs love them
luv it, great for kids
hot chocolate, chocolate
just ok nothing special but dairy free, good but not great
delicious english style tea, great tea
effective for water, it works
favorite seasoning, great seasoning
not good, not bad
kid food, great for lunches
this is fine quality pure saffron, good stuff
disappointed, good but not great
best mustard ever, best mustard ever
love this product works amazing, great product
belly birthday, great gift
delicious and nutritious, great
food for my dog, dog food
dogs would not eat these, dogs love it
great cocoa, great taste
did not work for me, does not work for me
yummo am coffee, great coffee
eating gluten free, great cookies
dog dental checkups, great product
disappointed, not so good
is great, great
looking to the treat, great product
really good and great shelf life, great tasting
not edible, not as advertised
last for days, my dog loves these
yum delicious crackers, great cookies
good coffee, good coffee
best marzipan, chocolate
medicine, not bad
extremely chocolately, great cookies
well worth the wait, best chocolate ever
amazing, best ever
fig are not for, yummy
tooth treat, dog loves it
over priced and, not as good as expected
the best tea ever, great tea
delicious, not as good as the others
use, great product
delish, great product
mom loved it, great gift for
excellent, great tasting bar
not watermelon, great product
great oolong shot, great tea
good vanilla coffee, good coffee
nice bread, great product
love this flavor, great coffee
tea, not what expected
love it, great for baby food
great coffee, great coffee
sf bay cup, good coffee
great as is, great cereal
wonderful flavor, great sauce
overpriced and over roasted, great coffee
healthy yummy, great snack for gluten free snack
coffee pods, great coffee
disappointing, not as advertised
lindt truffles, great chocolate
little stale, not as advertised
poor, great jerky
delicious, great tasting bar
tastes great, great
biscuits, great for
tart cherries, great product
makes you sick, great for
good eating, great
coffee flavoring, great coffee
great snack, great snack for kids
same price in, great coffee
great product, great product
starbucks at home, great coffee
great coffee, great coffee
best tea bags you can buy, not so good
coffee beans, great coffee
prompt delivery, great product
is the best, great coffee
sweet, great taste
smells good, not so good
fantastic ketchup, best ever
yummy, best ever
my dog loves liver, my dog loves these
san francisco bay coffee, great coffee
twix king package little old, great deal
best sauce around, best mustard ever
great product but could be little cheaper, great product
tasty blend, great coffee
my cats this, great cat food
flavor wish it had longer shelf life, great tasting
want my money back, not as advertised
the least sweet energy bars have found, great tasting bar
lifesavers, great for
it is none, it works
tea for the summer, great tea
great coffee but, great tea
just what we were looking for, great
dogs love them, great treat
cookie, best cookies ever
super ginger taste, great tasting
pb powdered peanut butter, great tasting snack
ok but little sweet, not so good
fun new to me product, great product
truffle cream, great taste
dog approved, dog loves them
not so tasty, great product
much blend than the original, not bad
picky, dog treats
delicious and healthy yay, great for breakfast
almost like the real thing, coconut water
good stuff, great snack
not lab durable, not durable
excellent product, great product
decaf option mild flavor, good coffee
great way to buy this product, cats love it
pb, yummy
deceptive, great cookies
easy taco night, great
poor packaging for liquid items, not as advertised
so yummy, great
flavor, not bad
directions say to, not what expected
another thumbs up for, great cat food
love the sugar cookies, great tasting snack
wonderful coffee, great coffee
my dogs love these, dogs love them
addictive, great product
disappointed, not bad
smells pretty bad, not bad
cajun jerky, great tasting
little bit of dessert in every bottle, best hot chocolate ever
yum, great for baby food
are you people even the right thing, not what expected
what my dogs have to say, great for training
great stuff, great product
good coffee, great coffee
hot chips, great hot sauce
not bad, not bad
syrup pump, not as good as the
works great, great coffee
quality, great chips
really like this coffee, great coffee
fantastic, great coffee
yummy, best gluten free crackers
best flavor, great tea
for no big deal popcorn, not as advertised
new favorite coffee, great coffee
honey, great tasting
too sweet, not bad
not that great, good popcorn
not has fish oil and, not bad
very good chips, great chips
organic good deal for money heart health, good price but good price
it is not organic, not what expected
it is not easy being cheesy, great
great treat for dogs, great treat
