original_summary,predicted_summary
great for kids on the go, great snack
great tasting healthy cereal, great product
what, great taste
smooth move, great tea
so far so good, great product
great tasting tea for cold, great tea
star to much, not bad
really great flavor, great taste
why cannot find this locally, great coffee
goooood gravy, great
delicious, delicious
decent flavor it is expensive, good tea
diamond glazed walnuts, best product
the best there is, great
love it, great product
my love it, my baby loves it
kellogg granola raisins, great cereal
folgers black silk oz can, not bad
it is not bad, great tasting
stale beans, not bad
cup holder, great tea
great coffee, great coffee
great coffee, great coffee
great, great coffee
this shampoo has no only, great product
stale, cookies
very weak flavor, good but not the best
better than ever, great product
just like regular spaghetti, great product
all broken up, great product
watch out here comes, great for breakfast
greenies dental chews, my dog loves these
excellent, great product
bran buds now at your, great coffee
just okay had better, great product
excellent product, great product
oil this is very good for us, great product
great flavor with out the salt, great product
better price is available, great price
my dog loves these, great product
great cocoa, great coffee
sweet service five stars, great gift
wonderful and flavorful even decaf, great coffee
yum, great snack
tea, not what expected
heavenly taste experience, great
love love love em, love this stuff
feel the love of love crunch, great tasting
different than your standard lemonade, not bad
safe easy to chew tasty, my dog loves these
great pancakes, great bread mix
great product for dogs, great product
high quality food but, my dog loves it
not potato chips, best chips ever
excellent snack, great snack
greatest tea in the world, best tea ever
baking soda, great product
simply delicious, great gift
clean fresh taste to me, coconut water
loves it, great
wonderfully convenient, great product
great tasting, great tea
great quality cats love it, my cats love it
great pump for bottles purchased for, great product
as advertised, great taste
yum, best honey
arrived melted together, cookies
favorite of all, great tea
wonderful snack item, great snack
tasty but make sure you have gum, great chips
refreshing addition to water, great product
this product is of quality, not as pictured
good taste and healthier choice, great taste
wonderful blend of flavors, great snack
pop tarts are awesome, great
convenient and tasty, good rice
wow, great tasting and great price
review, my dogs love these
it really works, great product
delicious, great tasting
tried this bar and loved it, great cereal
great birthday gift, great gift
dont waste your money, great product
favorite, dog loves it
quick and reliable service great product, great tea
love love them, great popcorn
happy customer, great product
fast food at home, great for
double bagged, great product
for tough chewers, my dog loves these
addictive little cookie, great product
tastes awful, not bad
product, great product
delightful, not as pictured
very good gluten free pasta, great product
delish, great tea
what confused me, not what expected
great for kids, great for lunch
good but little too sweet, chocolate
sauce, great product
blech, not bad
excellent gift item, great
one of my favorite spices, great flavor
amazing product, great product
healthy and refreshing, coconut water
love it, great for lunches
terrible beans, not bad
very flavorful, great taste
thank you, great product
for company, great product
stale, not as advertised
loves these, my dog loves these
love it, best coffee
popchips, great snack
love love this, great tasting
love this tea, great tea
healthy and tasty, great tasting
great quick cup of coffee, great coffee
horrible, tastes like plastic
another awsome jerky, best jerky jerky ever
should have better, great flavor
southern pecan coffee, great coffee
no carb option, great for low carb
long lasting favorite, dogs love them
delicious, great product
almonds, great product
great product, great product
delicious, great product
simply superb, great tea
tasteless, great
great dr pepper product, great product
good option, great product
love at first bite, great for teeth
bit pricey, good but not what expected
great sprouting, great product
kind of gross, good but not the best
tea that works to clear all digestive, great product
delicious, hot chocolate
cocoa, great product
very weak, good coffee
love it, great tea
not as advertised, great product
last forever, not as advertised
best and tortilla chips, great chips
best water ever, best gum ever
quite good, great tea
ok, great product
made great, great product
excellent, popcorn
these are weird, great tasting
love this coffee, great coffee
mm tasty, great product
great product but price keeps going up, great product
pasta couscous, great product
great taste keep me up, great tasting
melted from, melted
these are great, not bad
dog gone good, my dog loves these
good product, good stuff
false dont waste your money, not bad
very good, great tea
good flavor, great flavor
disgusting, not bad
pistachio is pistachio is pistachio, great product
sugar free gum, great gum
yum, great seasoning
my husband loves this product, great product
great cereal, great product
gluten free bread that actually tastes good, great bread
you need to try this, great taste
the best popcorn have ever tasted, popcorn
sweet and sour pops got sweet pops, not bad
yum, great taste
tastes pretty good, good coffee
incredible price, great product
wonderful, great syrup
an excellent product, good
great flavor, best soup ever
thai sticky sweet rice, great rice
very good, great tea
not happy, not what expected
wolfgang puck dark roast, great coffee
you just do not need the caffeine, great coffee
delicious but purchase elsewhere, great product
fun, great gift
great treat for my dog, great product
kind chocolate cherry cashew, great bars
better then the big box store, good but pricey
it is of taste, great coffee
disappointed, not bad
delicious just like salt and vinegar chips, great snack
great bargain great fruit very impressed, great product
great big good tasting cup of coffee, great coffee
not my cup of tea, worst coffee ever
cups work great coffee fantastic, great coffee
best chocolate waffle have found, great product
great and easy, great product
tasty alternative to peanut butter, great peanut butter
yum, great popcorn
love it, great product
good chips, great chips
full flavored, great coffee
product treat for dogs with allergy issues, my dog loves these
honey almond flax granola kashi bars, great bars
best hot cocoa yet, best hot cocoa
delicious curry, great product
zico water is the best, great for the go
great price, great price
remember bars, great for lunches
must have, great flavor
good price good product, great product
paris tea by harney sons, great tea
excellent sugar free cooked pudding, great price
great package, great product
best bean soup in bag, great soup
great product, great product
classic candy gum very, great product
refreshing and the chocolate, great product
awesome, great product
catnip, great product
handy package for equal, great coffee
scrumptious, best tea ever
wonderful, my dog loves these
excellent quality assortment, great product
sugar substitute, sugar free sugar
love these, great bars
perfect for our food allergy child, great tasting snack
misleading, great product
my dogs for more, my dogs love these
perfect for stir fry, good stuff
delicious, great for the energy
amazing, great product
wow, great chips
really tasty, great cereal
great for pops, great product
best birthday gift loved by as well, great gift
delicious, delicious
yum, great snack
lemon drops, great ginger
too good to pass up, great cookies
yummy, great product
yummy, great snack
price, great cereal
macadamia nuts, great taste
tastes good, great taste
how can you go wrong, great product
yummy, great taste
check you before you buy, good product but pricey
dried blueberries, great product
best green tea, great tea
use it as an, great product
delicious, great product
difference in my dog, my dog loves these
favorite and great deal, great coffee
as advertised, great product
kona coffee review, great coffee
not the same flavor, not bad
yummy, great product
superb, great tea
the perfect snack, great snack
cups amazon, great coffee
good bites skin coat, my dogs love these
they are kind of gross, great snack
delish, great
tasty and timely, great product
awful not as described not gummies, not bad
tasty but too sweet, tasty
best instant, best hot chocolate
coffee lover, great coffee
very good, great tea
great flavor from, great coffee
why do their organic foods contain, great product
most rich cup yet on keurig, great coffee
very good but little bland, great snack
the best, great product
dogs it, my dogs love these
very fragrant and potent, great tea
would buy again, great gift
where is the lime, not bad
great jam true wild mountain jam, best jam
it has msg, not bad
love them, great snack
love bar pop chips, great snack
bad product, not as advertised
love it, great for cooking
perfect, great product
yuck, good stuff
great chocolate and berry taste, delicious
coconut water, great product
awesome and tasty, great
disappointed, good stuff
idea but, my dog loves these
dog loves them, my cats love it
amazing exotic flavor, great product
bone dog treats pack, my dog loves these
great item great customer service, great product
good coffee to start off your day, great coffee
why use color, great for the dog
pop chips love them, great snack
great with beer, great product
horrible rubbery not at all like noodles, great noodles
couscous thing, great product
pure himalayan salt the healthy salt, great product
not gluten free, gluten free bisquick
high quality low carb, great product
good memories, great candy
wonderful, great snack
kona blend, great coffee
space saver does not well, not bad
great product no experience, great popcorn
not best for espresso, great coffee
just okay, not bad
great taste, good stuff
my favorite hot sauce, great product
great, great for
too close to expiration, not bad
average, great coffee
satisfying, great coffee
cookies for tea time, cookies
for boxes, not as advertised
best tortilla chips ever, great chips
not bad at all, gluten free bread
satisfied, great price
our dog loves these biscuits, great product
favorite tea, best tea ever
for treats, my dog loves this
tasty, my cats love this food
best chips have ever tasted, great chips
pineapple, great taste
makes flavoring very easy, great product
awesome stuff, great product
wow amazing taste healthy wonderful meal replacement, great product
the tin is more than the coffee, great coffee
nasty after taste, great coffee
beware, great product
for box it is okay, not what expected
great cocoa for the price, great product
like in the mouth, great popcorn
dried whole ghost, great product
yum, great for baby
product, great product
great, poor quality
the best tea in the world, great product
yum, great coffee
yummy, great cereal
great product, great soup
so nice to get of home, gluten free bread
great tea, great tea
loved it, best coconut water
short and sweet, great product
disappointed, my cats love it
amazing cookies, great product
down flour, great product
mint tea, great tea
awesome, great flavor
smooth move really helps move, great tea
great as cookies, great cookies
good product, great product
fun decadent dessert, chocolate
simply the best, great product
not for peanut butter, not good
great product, great product
great value, my dogs love these
yum, popcorn popcorn
soothing after drink, great tasting
adults love them too, yummy
great product great price, great product
ginger tea, not bad
dog loves it, great product
good product, great product
lo carb pizza flavor snacks, great product
excellent product, not what expected
good strong coffee, great coffee
pop chips on the go, pop chips
great taste but cheaper at bed, great coffee
better than being in, great product
clean, my dog loves it
will not eat anything else, my cats love it
yum, great for kids
great product, great product
love this stuff, great product
smooth to the last drop, great coffee
the best low carb too, great sauce
delicious treats, my dogs love these
real chocolate, chocolate
tug jug lasts minutes, not
good with, great cereal
perfect, yummy
paste in plastic, great product
gluten free, great
wonderful, great taste
nice smooth bold brew, great coffee
amazing, best chocolate
awesome, great product
great toy for golden, my dog loves these
hot chocolate, great coffee
good healthy product, great product
so yummy, great tasting
will not well, great coffee
probably little too big for the, my dog loves these
weak flavor, great product
more cups than expected, great coffee
tasty, great chips
good coffee and less expensive, great coffee
olive salad, great product
tasty, yummy
the best market iced green tea, great tea
very nice tangy flavor, great flavor
like most low carb snacks but, great tasting snack
horrible not what expected, great coffee
my loved these, great coffee
totally addicting, great tasting
choice seasoning, great product
tasty, great product
yuck, not bad
green mtn breakfast blend cups, great coffee
an excellent dog training treat, my dog loves these
good stuff, great soup
yumm gluten free or not, best gf bread
bold and beautiful, great coffee
lab loves these chews, my dog loves these
it is yoo hoo, great product
amazing flavor, great flavor
crunchy, great chips
if you like gummy white bread, great bread mix
yummy, delicious
healthy and at the time, great product
surprisingly moist, great tasting bar
for mom, great product
dr kracker makes good variety of crackers, great product
great taste, great popcorn
large black tea bags, great
sugar is the second, great product
great energy, great product
great coffee, great coffee
greatest tasting water since, best water water
my new granola bar, great tasting
bob, great product
greenies yum, my dog loves these
zuke mini naturals dog treats salmon, my dogs love these
altoids spearmint mints, great product
one great dip, great product
meh, not bad
exotic pantry stuff pomegranate molasses, great product
better than gluten filled, great product
great coffee, great coffee
good, great product
great coffee, great coffee
this tea is lovely all year long, great tea
for tea and coffee, great product
review, not bad
info, best chocolate ever
so good so fruity, great tea
healthy snack, great snack
very good, my dog loves these
great little pudding, great taste
fish tea, not bad
greenies for, my dogs love these
organic prunes, great product
do not buy it is addicting, great
coffee drink with kick, great coffee
incredible addition for cooking, great product
great for all dogs, my dog loves these
our favorite, great coffee
gold dust is awesome, great product
will buy again, not bad
great product, great product
pure and healthy without, best tea ever
good product, great product
best cashews, great taste
the best gummy bears, great candy
product, great product
cat treats, my dog loves these
our dog loves these, my dogs love these
delicious strong japanese black coffee candy, great coffee
chocolate goji, great
best treat ever, my dogs love these
peach, not bad
good lime taste, great taste
homemade goodness, great taste
sausage sticks, great
spread, not bad
surprisingly good, great snack
not to my taste, not bad
delicious, great product
great and yummy, great for kids
fun, great taste
good but not special, good coffee
like it lot, great product
nature variety dog food, great food
sweet snack, good stuff
tea, great product
fantastic, great product
country, great
healthy treat for dogs with allergies, my dog loves this
worst bar ever, not bad
my pups love it, my dogs love these
incorrect product, great product
busy buddy, my dog loves these
disappointed, great popcorn
these are spicy, not bad
my first subscription order received, good taste
soy chips expired, chips
great product, great product
spicy but good, great flavor
steak it makes great gift, great gift
not as fresh as expected, not bad
not worth it, my dog loves these
great buy, great product
way cheaper at club or costco, great product
great product bad price on here, delicious
best value, great product
only tea cups, great tea
not great for making hot chocolate, great cocoa
the best, great taste
beautiful and yummy, great gift
can chicken, great product
smoked paprika, great flavor
we love it, great soup
too delicious, great product
hands down favorite, best soup ever
sour coffee, great coffee
savory, crackers
dog cookies, great product
jello review, great product
melted, great chips
made both of my dogs sick, not for my dogs
great product even vendor, my cat loves this
nice, good coffee
service good product not as expected, great product
amazing, great candy
tart cherry concentrate, great product
place is amazon, great product
this stuff is delicious, great price
old goodness, best ever
my favorite cheese curls, great taste
dogs love them, my dogs love these
product good seller bad, great product
am glad can still buy this, great product
like cheez its, not as advertised
amazing product to, great product
can eat an box in day, great cereal
great corn taste, great cereal
not very good, great taste
best sun butter ever by far, great
spice it up, great sauce
great deal on amazon with, great price
fine but premium pricing, great product
awesome, my dog loves these
prefer this to regular brownies, great product
hot, great flavor
these are amazing, great snack
wonderful, great popcorn
love the tea, best tea ever
none such, great product
would not buy it again, my dog loves it
van houtte house blend, not bad
great cup of coffee, good coffee
disappointed, great
great coffee for an espresso machine, great coffee
cet dog chews, my dogs love these
natural concentrate from china, great product
great stuff, great bread mix
great gluten free brownies, best brownies ever
flavors taste great, great product
the perfect dog food, great product
mm, not bad
no high fructose corn syrup, great product
special, great cereal
great treats, great product
sprouting seeds, good product
big flavor no calories, great flavor
yummy and good for you too, my dogs love these
great, great
disappointing, tea
sweet and chewy, great taste
great price and quality product, great product
yummy, great product
disgusting artificial flavor, tastes like plastic
could not find these anywhere else, yummy
probably lbs from this bag, great gift
great variety, great product
not really brand, not the best
popcorn, great popcorn
smooth taste not bitter, great coffee
good tea but check for freshness, great tea
best tasting hot sauce, great product
four leaf balsamic vinegar for good price, great product
great stuff, great product
love the scent, best coconut water
it is all about the convenience, great product
grey decaf tea, great tea
great gift idea, great gift
it is ok, great snack
organic salad mix, great product
quick and healthy, great soup
not worth the money, stale
shipping, poor quality
the best gluten free baking mix, great bread mix
tastes like water, not bad
the best, great tea
great taste, great taste
over priced, great product
used to better, not bad
not bad, good but not too sweet
delicious and at great price, great
great tasting coffee, great coffee
stuff, great tasting
grow some grass man, seeds
great coffee, great coffee
my favorite adult cereal, great cereal
crackers for cheese, crackers
amazon has it it is the best, the best maple syrup
these are delicious, best gf bread
amazing, great
not just for baby food, great for baby
great disposable cups, great coffee
delicious and healthy, great product
love this, great product
highly, great product
great product, great product
best coffee ever, great coffee
butter toffee lover, great coffee
not bad good in oatmeal, great product
not happy, not as pictured
it is delicious, great sauce
tastes like the real thing, great pasta
teenie lite greenies, my dog loves it
check out beyond first, great product
great as marinade, great product
an excellent green tea, great tea
lemon ginger tea, great tea
my dog favorite treat, my dogs love these
old broken and stale, broken cookies
classic, great candy
almond coconut vanilla, great product
gummi bear heaven, great product
not organic, great food
best ever, great taste
quality product, great product
excellent gum, great gum
do not like it, great taste
jalapeno heaven, great chips
excellent flavor, great tea
great awesome snacks, great snack
yumm, best tea ever
pure deliciousness, great product
two paws up, great product
moist and delicious great for weight, great taste
best of, great product
delicious, great taste
good gum with out all the junk, great gum
eating it for years, rice
english and tea, great tea
organic base, not bad
love it, great product
yummy and good for us, great snack
melted bears, not that expected
great coffee, great taste
vita coco, great product
good, great
jiffy pop popcorn, great price
good stuff, great coffee
be bold, great tea
convenient, great product
better than my starbucks, great coffee
excellent tea with aroma, great tea
yummy, great soup
excellent, great tea
prefer the whole slices, best canned ever
good buy, great product
love my kashi cereal, great cereal
mm, best popcorn
pb, best brownies
tasty, great tea
great product, my dog loves these
yummy and nothing fake, great product
these are awesome, great chocolate
love this treat, my dogs love these
are an awesome treat for canine kids, my dogs love these
did not like at all, not bad
mm good tea, great tea
crunchy good, my cats love these
pirate booty, great product
these are great, my dogs love these
delicious, great coffee
best hot olives on the market, great product
excellent, great
great product, great product
amount of your milk, great product
best price, great product
cet chews, my dogs love these
read the, not bad
great wine, great product
great tea for bagged tea, great tea
very effective tea, great tea
wonderful, great chocolate
love disposakups, great coffee
disappointed, great product
poor customer service, great product
cheap and not worth the price, good price
great ingredients but dogs eat it, my dogs love these
luv it, great candy
hot chocolate, hot chocolate
just ok nothing special but dairy free, great taste
delicious english style tea, great tea
effective for water, great product
favorite seasoning, great product
not good, not bad
kid food, great for lunches
this is fine quality pure saffron, great
disappointed, good rice
best mustard ever, great mustard
love this product works amazing, great product
belly birthday, great product
delicious and nutritious, delicious
food for my dog, my dog loves it
dogs would not eat these, my dogs love these
great cocoa, great product
did not work for me, not bad
yummo am coffee, great coffee
eating gluten free, great tasting
dog dental checkups, great product
disappointed, good stuff
is great, great product
looking to the treat, not as pictured
really good and great shelf life, great cookies
not edible, not as pictured
last for days, my dogs love these
yum delicious crackers, great tasting
good coffee, great coffee
best marzipan, best chocolate ever
medicine, it is ok
extremely chocolately, best chocolate ever
well worth the wait, best chocolate ever
amazing, best ever
fig are not for, not what expected
tooth treat, my dog loves these
over priced and, great coffee
the best tea ever, great tea
delicious, good but not the best
use, great product
delish, great product
mom loved it, great gift
excellent, great tasting bar
not watermelon, not what expected
great oolong shot, great tea
good vanilla coffee, great coffee
nice bread, great bread
love this flavor, best coffee
tea, tea
love it, great product
great coffee, great coffee
sf bay cup, great coffee
great as is, great cereal
wonderful flavor, great product
overpriced and over roasted, great coffee
healthy yummy, not bad
coffee pods, great coffee
disappointing, not bad
lindt truffles, chocolate
little stale, not bad
poor, not bad
delicious, great product
tastes great, great product
biscuits, best cereal ever
tart cherries, great
makes you sick, great product
good eating, best seeds ever
coffee flavoring, great coffee
great snack, great snack
same price in, great coffee
great product, great product
starbucks at home, great coffee
great coffee, great coffee
best tea bags you can buy, not bad
coffee beans, great coffee
prompt delivery, great product
is the best, best coffee
sweet, great taste
smells good, great coffee
fantastic ketchup, best tasting water
yummy, best chips ever
my dog loves liver, my dogs love these
san francisco bay coffee, great coffee
twix king package little old, great candy
best sauce around, great product
great product but could be little cheaper, great product
tasty blend, great coffee
my cats this, my cat loves this
flavor wish it had longer shelf life, great tasting
want my money back, not as good as expected
the least sweet energy bars have found, great tasting
lifesavers, great for kids
it is none, it is ok
tea for the summer, great tea
great coffee but, great tea
just what we were looking for, great taste
dogs love them, my dog loves these
cookie, best cookies
super ginger taste, great tasting
pb powdered peanut butter, great tasting
ok but little sweet, great flavor
fun new to me product, great product
truffle cream, great
dog approved, dog food
not so tasty, great taste
much blend than the original, not bad
picky, my dog loves these
delicious and healthy yay, great bars
almost like the real thing, coconut water
good stuff, great for kids
not lab durable, my dog loves these
excellent product, great product
decaf option mild flavor, great coffee
great way to buy this product, great product
pb, great product
deceptive, gluten free bisquick
easy taco night, great product
poor packaging for liquid items, not bad
so yummy, great snack
flavor, not bad
directions say to, not what expected
another thumbs up for, my cats love it
love the sugar cookies, great product
wonderful coffee, great coffee
my dogs love these, my dogs love these
addictive, best gum ever
disappointed, great chips
smells pretty bad, not my baby loves it
cajun jerky, great for the price
little bit of dessert in every bottle, great for
yum, great product
are you people even the right thing, good stuff
what my dogs have to say, my dogs love these
great stuff, great product
good coffee, great coffee
hot chips, great product
not bad, good coffee
syrup pump, great product
works great, great coffee
quality, best chips ever
really like this coffee, great coffee
fantastic, great coffee
yummy, great tasting
best flavor, best tea ever
for no big deal popcorn, great price
new favorite coffee, great coffee
honey, delicious
too sweet, not bad
not that great, popcorn
not has fish oil and, no more
very good chips, great chips
organic good deal for money heart health, good product but overpriced
it is not organic, not what expected
it is not easy being cheesy, great chips
great treat for dogs, my dogs love these
