original_summary,predicted_summary
love love them, great for
happy customer, great product
fast food at home, good stuff
double bagged, great product
for tough chewers, great toy
addictive little cookie, great for
tastes awful, not as good as
product, not as advertised
delightful, great product
very good gluten free pasta, great gluten free pasta
delish, great tea
what confused me, great gift
great for kids, great for
good but little too sweet, chocolate chocolate
sauce, love this soup
blech, not bad
excellent gift item, great gift
one of my favorite spices, great flavor
amazing product, great gift
healthy and refreshing, good flavor
love it, my son loves this food
terrible beans, not bad
very flavorful, great
thank you, great product
for company, great product
stale, not bad
loves these, great for training
love it, great coffee
popchips, pop chips
love love this, great product
love this tea, great tea
healthy and tasty, great for breakfast
great quick cup of coffee, great coffee
horrible, not bad
another awsome jerky, great flavor
should have better, not bad
southern pecan coffee, great coffee
no carb option, good but not great
long lasting favorite, my dog loves this
delicious, great taste
almonds, good
great product, great product
delicious, great product
simply superb, great tea
tasteless, not as good as expected
great dr pepper product, great taste
good option, rip off
love at first bite, my dog loves this
bit pricey, good product
great sprouting, great
kind of gross, great for breakfast
tea that works to clear all digestive, great tea
delicious, best chocolate ever
cocoa, great product
very weak, good coffee
love it, great tea
not as advertised, not as advertised
last forever, great product
best and tortilla chips, pop chips
best water ever, great flavor
quite good, great taste
ok, great product
made great, great
excellent, great popcorn
these are weird, good but not the best
love this coffee, great taste
mm tasty, great product
great product but price keeps going up, good stuff
pasta couscous, great product
great taste keep me up, great product
melted from, not as good as the picture
these are great, good but not great
dog gone good, great product
good product, great product
false dont waste your money, not bad
very good, great tea
good flavor, good stuff
disgusting, not bad
pistachio is pistachio is pistachio, good product
sugar free gum, great product
yum, great seasoning
my husband loves this product, great taste
great cereal, great snack
gluten free bread that actually tastes good, good gluten free bread
you need to try this, good stuff
the best popcorn have ever tasted, great popcorn
sweet and sour pops got sweet pops, not as described
yum, great taste
tastes pretty good, not bad
incredible price, great product
wonderful, great flavor
an excellent product, great product
great flavor, great for
thai sticky sweet rice, great rice
very good, great taste
not happy, not as advertised
wolfgang puck dark roast, not bad
you just do not need the caffeine, great coffee
delicious but purchase elsewhere, great snack
fun, good
great treat for my dog, great product
kind chocolate cherry cashew, good taste
better then the big box store, not as advertised
it is of taste, great coffee
disappointed, not bad
delicious just like salt and vinegar chips, great snack
great bargain great fruit very impressed, great product
great big good tasting cup of coffee, great coffee
not my cup of tea, good coffee
cups work great coffee fantastic, great coffee
best chocolate waffle have found, great
great and easy, good gluten free bread
tasty alternative to peanut butter, great for
yum, great popcorn
love it, great product
good chips, good chips
full flavored, great coffee
product treat for dogs with allergy issues, great for training
honey almond flax granola kashi bars, great for
best hot cocoa yet, great hot cocoa
delicious curry, dented cans
zico water is the best, great taste
great price, great product
remember bars, great for
must have, great seasoning
good price good product, great product
paris tea by harney sons, great tea
excellent sugar free cooked pudding, great product
great package, great for
best bean soup in bag, great soup
great product, good product
classic candy gum very, great for
refreshing and the chocolate, great chocolate
awesome, great
catnip, cat food
handy package for equal, great coffee
scrumptious, great taste
wonderful, my dog loves these
excellent quality assortment, great for cooking
sugar substitute, good stuff
love these, great taste
perfect for our food allergy child, great snack
misleading, poor product
my dogs for more, great treats
perfect for stir fry, good flavor
delicious, great taste
amazing, great taste
wow, great snack
really tasty, great cereal
great for pops, great product
best birthday gift loved by as well, gift
delicious, great taste
yum, great taste
lemon drops, great flavor
too good to pass up, great taste
yummy, great snack
yummy, great snack
price, price
macadamia nuts, great product
tastes good, great taste
how can you go wrong, great product
yummy, great for
check you before you buy, great product
dried blueberries, great product
best green tea, great tea
use it as an, great product
delicious, great for
difference in my dog, my dog loves these
favorite and great deal, great coffee
as advertised, good product
kona coffee review, not bad
not the same flavor, not bad
yummy, great product
superb, great tea
the perfect snack, great
cups amazon, not as good as expected
good bites skin coat, great product
they are kind of gross, yuck
delish, great taste
tasty and timely, great product
awful not as described not gummies, not as advertised
tasty but too sweet, not bad
best instant, great taste
coffee lover, great coffee
very good, tea
great flavor from, great coffee
why do their organic foods contain, great product
most rich cup yet on keurig, great taste
very good but little bland, great flavor
the best, great for
dogs it, my dog loves this food
very fragrant and potent, great tea
would buy again, great product
where is the lime, not bad
great jam true wild mountain jam, great flavor
it has msg, not as good as expected
love them, great for breakfast
love bar pop chips, great snack
bad product, not as advertised
love it, great
perfect, great for cooking
yuck, tastes like plastic
great chocolate and berry taste, chocolate chocolate
coconut water, great flavor
awesome and tasty, best ever
disappointed, not bad
idea but, my dog loves these
dog loves them, my cat loves this food
amazing exotic flavor, best flavor
bone dog treats pack, my dog loves this
great item great customer service, great flavor
good coffee to start off your day, good coffee
why use color, great product
pop chips love them, pop chips
great with beer, good soup
horrible rubbery not at all like noodles, good
couscous thing, great product
pure himalayan salt the healthy salt, salt
not gluten free, gluten free bread
high quality low carb, good
good memories, good
wonderful, delicious
kona blend, great coffee
space saver does not well, not bad
great product no experience, great popcorn
not best for espresso, good coffee
just okay, not bad
great taste, great taste
my favorite hot sauce, love this stuff
great, great
too close to expiration, not as good as
average, good coffee
satisfying, great coffee
cookies for tea time, good cookies
for boxes, not bad
best tortilla chips ever, great chips
not bad at all, good but not great
satisfied, not as good as
our dog loves these biscuits, my dog loves these
favorite tea, great tea
for treats, my cat loves this food
tasty, my cat loves this food
best chips have ever tasted, great chips
pineapple, good stuff
makes flavoring very easy, great product
awesome stuff, great product
wow amazing taste healthy wonderful meal replacement, great snack
the tin is more than the coffee, not bad
nasty after taste, not bad
beware, not bad
for box it is okay, great taste
great cocoa for the price, great taste
like in the mouth, not bad
dried whole ghost, great
yum, great for my son
product, great product
great, not as advertised
the best tea in the world, great product
yum, great taste
yummy, great for
great product, great product
so nice to get of home, not good
great tea, great tea
loved it, great flavor
short and sweet, spicy
disappointed, my cat loves this food
amazing cookies, great for breakfast
down flour, great product
mint tea, great tea
awesome, great taste
smooth move really helps move, great tea
great as cookies, delicious
good product, excellent
fun decadent dessert, great taste
simply the best, great product
not for peanut butter, good flavor
great product, great taste
great value, great product
yum, great popcorn
soothing after drink, great taste
adults love them too, great for breakfast
great product great price, great product
ginger tea, great tea
dog loves it, great for
good product, great for cooking
lo carb pizza flavor snacks, good
excellent product, not as advertised
good strong coffee, good coffee
pop chips on the go, great chips
great taste but cheaper at bed, great taste
better than being in, great soup
clean, my dog loves this food
will not eat anything else, my cat loves this food
yum, great for
great product, great product
love this stuff, great seasoning
smooth to the last drop, great coffee
the best low carb too, best hot sauce
delicious treats, great treats
real chocolate, chocolate chocolate
tug jug lasts minutes, dented cans
good with, great taste
perfect, great chocolate
paste in plastic, not the best
gluten free, great gluten free pasta
wonderful, great taste
nice smooth bold brew, great coffee
amazing, chocolate
awesome, great chips
great toy for golden, great toy
hot chocolate, great taste
good healthy product, great product
so yummy, good for you
will not well, great coffee
probably little too big for the, dog food
weak flavor, not as good as
more cups than expected, not as advertised
tasty, pop chips
good coffee and less expensive, great coffee
olive salad, great product
tasty, great for
the best market iced green tea, great tea
very nice tangy flavor, great taste
like most low carb snacks but, good but not great
horrible not what expected, good coffee
my loved these, great coffee
totally addicting, good
choice seasoning, great
tasty, good stuff
yuck, not bad
green mtn breakfast blend cups, great taste
an excellent dog training treat, great for
good stuff, great seasoning
yumm gluten free or not, great gluten free pasta
bold and beautiful, great coffee
lab loves these chews, great product
it is yoo hoo, not bad
amazing flavor, great flavor
crunchy, pop chips
if you like gummy white bread, not gluten free
yummy, great taste
healthy and at the time, great product
surprisingly moist, great for
for mom, great product
dr kracker makes good variety of crackers, great for
great taste, great popcorn
large black tea bags, great product
sugar is the second, great taste
great energy, great product
great coffee, great coffee
greatest tasting water since, great flavor
my new granola bar, great for breakfast
bob, great product
greenies yum, great for
zuke mini naturals dog treats salmon, great for training
altoids spearmint mints, great product
one great dip, great taste
meh, not too salty
exotic pantry stuff pomegranate molasses, great product
better than gluten filled, good gluten free bread
great coffee, great coffee
good, my dog loves this food
great coffee, great coffee
this tea is lovely all year long, great taste
for tea and coffee, great tea
review, good product
info, chocolate chocolate
so good so fruity, not for me
healthy snack, great snack
very good, not for me
great little pudding, great
fish tea, not bad
greenies for, great product
organic prunes, great
do not buy it is addicting, good stuff
coffee drink with kick, great taste
incredible addition for cooking, great for
great for all dogs, my dog loves these
our favorite, great coffee
gold dust is awesome, not as advertised
will buy again, not bad
great product, great taste
pure and healthy without, great taste
good product, great product
best cashews, good
the best gummy bears, great seeds
product, great product
cat treats, great treats
our dog loves these, my dog loves these
delicious strong japanese black coffee candy, good coffee
chocolate goji, good taste
best treat ever, great for training
peach, not bad
good lime taste, great taste
homemade goodness, great for
sausage sticks, good stuff
spread, tastes like
surprisingly good, great for
not to my taste, not bad
delicious, great
great and yummy, great snack
fun, not bad
good but not special, good coffee
like it lot, great gift
nature variety dog food, great for your dog
sweet snack, delicious
tea, great product
fantastic, great flavor
country, not good
healthy treat for dogs with allergies, my puppy loves these
worst bar ever, not bad
my pups love it, great for training
incorrect product, price
busy buddy, great toy
disappointed, not as advertised
these are spicy, not too good
my first subscription order received, good but not great
soy chips expired, not bad
great product, great snack
spicy but good, great taste
steak it makes great gift, great product
not as fresh as expected, not as good as expected
not worth it, dog food
great buy, great product
way cheaper at club or costco, great product
great product bad price on here, great taste
best value, great product
only tea cups, great tea
not great for making hot chocolate, great hot chocolate
the best, great taste
beautiful and yummy, great
can chicken, great for
smoked paprika, great flavor
we love it, great
too delicious, great for
hands down favorite, great taste
sour coffee, good taste
savory, great taste
dog cookies, great product
jello review, great product
melted, good but not the best
made both of my dogs sick, my dog loves this food
great product even vendor, great product
nice, not bad
service good product not as expected, good product
amazing, great product
tart cherry concentrate, great taste
place is amazon, great for gluten free
this stuff is delicious, great product
old goodness, the best
my favorite cheese curls, great for
dogs love them, my dog loves these
product good seller bad, great taste
am glad can still buy this, great tea
like cheez its, not as advertised
amazing product to, great for
can eat an box in day, great snack
great corn taste, good stuff
not very good, not good
best sun butter ever by far, great flavor
spice it up, great
great deal on amazon with, great product
fine but premium pricing, not bad
awesome, my dog loves this
prefer this to regular brownies, great for
hot, great taste
these are amazing, great for
wonderful, great popcorn
love the tea, great tea
none such, great product
would not buy it again, not as good as the
van houtte house blend, good coffee
great cup of coffee, great coffee
disappointed, not good
great coffee for an espresso machine, great coffee
cet dog chews, great dog food
natural concentrate from china, not as good as the picture
great stuff, great product
great gluten free brownies, great taste
flavors taste great, good product
the perfect dog food, great for your dog
mm, not as good as expected
no high fructose corn syrup, great taste
special, great product
great treats, my dog loves these
sprouting seeds, not as advertised
big flavor no calories, not bad
yummy and good for you too, great product
great, great taste
disappointing, tea
sweet and chewy, great snack
great price and quality product, great gum
yummy, great flavor
disgusting artificial flavor, not bad
could not find these anywhere else, great snack
probably lbs from this bag, great gift
great variety, great taste
not really brand, not what expected
popcorn, great popcorn
smooth taste not bitter, great coffee
good tea but check for freshness, great tea
best tasting hot sauce, great sauce
four leaf balsamic vinegar for good price, great flavor
great stuff, great gift
love the scent, great flavor
it is all about the convenience, great product
grey decaf tea, great tea
great gift idea, great gift
it is ok, not bad
organic salad mix, not as advertised
quick and healthy, good
not worth the money, not as advertised
shipping, not as advertised
the best gluten free baking mix, great gluten free pasta
tastes like water, tea
the best, great product
great taste, great taste
over priced, great coffee
used to better, not bad
not bad, good but not great
delicious and at great price, great flavor
great tasting coffee, great coffee
stuff, tastes like plastic
grow some grass man, great seeds
great coffee, great coffee
my favorite adult cereal, great for breakfast
crackers for cheese, great for diabetics
amazon has it it is the best, great flavor
these are delicious, great snack
amazing, best mustard ever
not just for baby food, great food
great disposable cups, great coffee
delicious and healthy, great for breakfast
love this, great for
highly, great for
great product, great product
best coffee ever, great coffee
butter toffee lover, great product
not bad good in oatmeal, good stuff
not happy, not as advertised
it is delicious, great flavor
tastes like the real thing, great gluten free pasta
teenie lite greenies, great product
check out beyond first, price
great as marinade, great product
an excellent green tea, great tea
lemon ginger tea, great tea
my dog favorite treat, my dog loves these
old broken and stale, stale
classic, my son loves this
almond coconut vanilla, great product
gummi bear heaven, good product
not organic, not for me
best ever, great taste
quality product, great product
excellent gum, great gum
do not like it, good
jalapeno heaven, pop chips
excellent flavor, great tea
great awesome snacks, great snack
yumm, great tea
pure deliciousness, great tasting
two paws up, great product
moist and delicious great for weight, great snack
best of, great taste
delicious, great taste
good gum with out all the junk, great gum
eating it for years, awesome
english and tea, great tea
organic base, not too salty
love it, great product
yummy and good for us, great snack
melted bears, seeds
great coffee, great flavor
vita coco, great taste
good, great product
jiffy pop popcorn, great product
good stuff, great hot chocolate
be bold, great taste
convenient, great for
better than my starbucks, great coffee
excellent tea with aroma, great tea
yummy, great taste
excellent, great tea
prefer the whole slices, good
good buy, great product
love my kashi cereal, great cereal
mm, great
pb, great snack
tasty, great taste
great product, my dog loves this
yummy and nothing fake, great snack
these are awesome, chocolate
love this treat, my dog loves these
are an awesome treat for canine kids, great for
did not like at all, not bad
mm good tea, great tea
crunchy good, cat food
pirate booty, delicious
these are great, great product
delicious, great coffee
best hot olives on the market, great flavor
excellent, great
great product, great product
amount of your milk, great product
best price, great product
cet chews, great product
read the, good stuff
great wine, great product
great tea for bagged tea, great tea
very effective tea, great tea
wonderful, great chocolate
love disposakups, great coffee
disappointed, not as good as expected
poor customer service, great product
cheap and not worth the price, not as advertised
great ingredients but dogs eat it, my dogs love this food
luv it, great for
hot chocolate, chocolate chocolate
just ok nothing special but dairy free, good but not great
delicious english style tea, great tea
effective for water, good product but pricing
favorite seasoning, great seasoning
not good, not bad
kid food, great
this is fine quality pure saffron, great product
disappointed, not bad
best mustard ever, great
love this product works amazing, great product
belly birthday, great
delicious and nutritious, great taste
food for my dog, not for
dogs would not eat these, my dog loves this food
great cocoa, great taste
did not work for me, not bad
yummo am coffee, great coffee
eating gluten free, great gluten free snack
dog dental checkups, great product
disappointed, not bad
is great, great taste
looking to the treat, great product
really good and great shelf life, great taste
not edible, not bad
last for days, my dog loves this food
yum delicious crackers, great snack
good coffee, good coffee
best marzipan, great taste
medicine, not bad
extremely chocolately, good but not great
well worth the wait, great taste
amazing, great
fig are not for, good
tooth treat, great toy
over priced and, good coffee
the best tea ever, great tea
delicious, great
use, great product
delish, great product
mom loved it, great
excellent, good for breakfast
not watermelon, not the same as expected
great oolong shot, great tea
good vanilla coffee, great coffee
nice bread, great taste
love this flavor, great taste
tea, tea
love it, my son loves this
great coffee, great coffee
sf bay cup, great coffee
great as is, great snack
wonderful flavor, great taste
overpriced and over roasted, coffee
healthy yummy, good but not the best
coffee pods, good coffee
disappointing, not as advertised
lindt truffles, chocolate chocolate
little stale, not bad
poor, not as good as expected
delicious, great for breakfast
tastes great, great
biscuits, great product
tart cherries, good
makes you sick, good product
good eating, great seeds
coffee flavoring, great coffee
great snack, great snack
same price in, great coffee
great product, great gum
starbucks at home, great coffee
great coffee, great coffee
best tea bags you can buy, not bad
coffee beans, good coffee
prompt delivery, great product
is the best, great coffee
sweet, good taste
smells good, good coffee
fantastic ketchup, great taste
yummy, great snack
my dog loves liver, my dog loves this
san francisco bay coffee, great coffee
twix king package little old, great product
best sauce around, excellent
great product but could be little cheaper, great product
tasty blend, great coffee
my cats this, my cat loves this food
flavor wish it had longer shelf life, great flavor
want my money back, not as good as other
the least sweet energy bars have found, great for
lifesavers, great for
it is none, good but not the best
tea for the summer, great tea
great coffee but, great tea
just what we were looking for, great product
dogs love them, my dog loves this food
cookie, good
super ginger taste, great taste
pb powdered peanut butter, great snack
ok but little sweet, good taste
fun new to me product, great gift
truffle cream, great flavor
dog approved, my dog loves this
not so tasty, great product
much blend than the original, great tea
picky, my dog loves this food
delicious and healthy yay, great for breakfast
almost like the real thing, great taste
good stuff, great for
not lab durable, dented cans
excellent product, great product
decaf option mild flavor, good flavor
great way to buy this product, great product
pb, delicious
deceptive, not gluten free
easy taco night, great taste
poor packaging for liquid items, not as advertised
so yummy, great taste
flavor, not bad
directions say to, not as good as expected
another thumbs up for, great food
love the sugar cookies, great snack
wonderful coffee, great coffee
my dogs love these, great product
addictive, great gift
disappointed, not bad
smells pretty bad, not bad
cajun jerky, great for
little bit of dessert in every bottle, great taste
yum, great for
are you people even the right thing, tastes great
what my dogs have to say, great product
great stuff, great taste
good coffee, great coffee
hot chips, great hot sauce
not bad, not bad
syrup pump, great product
works great, great coffee
quality, pop chips
really like this coffee, great coffee
fantastic, great coffee
yummy, great gluten free snack
best flavor, great tea
for no big deal popcorn, not as advertised
new favorite coffee, great coffee
honey, great taste
too sweet, not bad
not that great, popcorn
not has fish oil and, not as advertised
very good chips, great chips
organic good deal for money heart health, great product
it is not organic, tea
it is not easy being cheesy, delicious
great treat for dogs, great treats
