original_summary,predicted_summary
yummy, delicious
delicious snack, great product
great snack, tasty
easy and convenient, great for
even for gummi candy, great candy
coffee for keurig, good coffee
taste of heaven, delicious
only popcorn will eat, great popcorn
sea salt and vinegar chips, great chips
this cookie is awful, awful
nice and sweet, not good
green tea for keurig, great tea
best solution for dogs with weak, not for my dog
healthy high quality dog treat, great product
brand, great product
perfect lollipops, seeds
excellent excellent excellent, great taste
robust coffee, great coffee
lamb ears dog chew box of, dogs love them
awesome snack, great snack
honest brew, great tea
kashi bars subscribe and save, great product
not great peanut butter substitute, great taste
love love love, great taste
agave nectar, great product
swiss crunch, yummy
what great cup of coffee, good coffee
exactly as promised, dogs love it
over priced, not as advertised
good cup of coffee, good coffee
excellent with fish, great product
great tasting popcorn, great popcorn
excellent breakfast, great
coffee, great coffee
oh sooo, delicious
great for kids on the go, great snack
great tasting healthy cereal, great cereal
what, good
smooth move, great tea
so far so good, great product
great tasting tea for cold, great tea
star to much, terrible
really great flavor, great taste
why cannot find this locally, great coffee
goooood gravy, great product
delicious, delicious
decent flavor it is expensive, good product but
diamond glazed walnuts, great product
the best there is, great flavor
love it, great tasting
my love it, my son loves these
kellogg granola raisins, great cereal
folgers black silk oz can, great product
it is not bad, great snack
stale beans, not bad
cup holder, great tea
great coffee, great coffee
great coffee, great coffee
great, great coffee
this shampoo has no only, not as advertised
stale, these are great
very weak flavor, not bad
better than ever, great taste
just like regular spaghetti, best gluten free pasta
all broken up, not what expected
watch out here comes, great snack
greenies dental chews, great product
excellent, great rice
bran buds now at your, great taste
just okay had better, great tasting
excellent product, great gift
oil this is very good for us, great product
great flavor with out the salt, great salt
better price is available, great product
my dog loves these, great product
great cocoa, great taste
sweet service five stars, sent the gift
wonderful and flavorful even decaf, great coffee
yum, best ever
tea, great tea
heavenly taste experience, great taste
love love love em, love this stuff
feel the love of love crunch, great cereal
different than your standard lemonade, not the best
safe easy to chew tasty, great treats
great pancakes, great gluten free pasta
great product for dogs, great treats
high quality food but, not for my dog
not potato chips, not what expected
excellent snack, love these chips
greatest tea in the world, great tea
baking soda, great
simply delicious, delicious
clean fresh taste to me, coconut water
loves it, great product
wonderfully convenient, great
great tasting, great tea
great quality cats love it, cat food
great pump for bottles purchased for, not bad
as advertised, great product
yum, best ramen ever
arrived melted together, melted
favorite of all, great tea
wonderful snack item, delicious
tasty but make sure you have gum, great chips
refreshing addition to water, zico coconut water
this product is of quality, good product
good taste and healthier choice, good but not too salty
wonderful blend of flavors, delicious
pop tarts are awesome, great
convenient and tasty, great taste
wow, great product
review, great treats
it really works, great product
delicious, great product
tried this bar and loved it, great taste
great birthday gift, great product
dont waste your money, not bad
favorite, great dog food
quick and reliable service great product, great tea
love love them, love this stuff
happy customer, great product
fast food at home, great product
double bagged, great product
for tough chewers, great toy
addictive little cookie, these are great
tastes awful, not bad
product, not what expected
delightful, beautiful
very good gluten free pasta, great gluten free pasta
delish, great tea
what confused me, great product
great for kids, great for cooking
good but little too sweet, chocolate chocolate
sauce, delicious
blech, not bad
excellent gift item, great gift
one of my favorite spices, great product
amazing product, great product
healthy and refreshing, great taste
love it, my son loves this
terrible beans, worst coffee ever
very flavorful, great taste
thank you, great flour
for company, great product
stale, stale
loves these, my dog loves these
love it, great coffee
popchips, great chips
love love this, great product
love this tea, great tea
healthy and tasty, great snack
great quick cup of coffee, great coffee
horrible, not bad
another awsome jerky, great jerky
should have better, great taste
southern pecan coffee, great coffee
no carb option, great taste
long lasting favorite, dogs love them
delicious, great taste
almonds, delicious
great product, great product
delicious, great product
simply superb, great product
tasteless, not bad
great dr pepper product, great taste
good option, good product
love at first bite, my dog loves them
bit pricey, good product
great sprouting, great
kind of gross, great taste
tea that works to clear all digestive, great tea
delicious, best hot chocolate
cocoa, great product
very weak, weak
love it, great tea
not as advertised, not as advertised
last forever, not worth the money
best and tortilla chips, delicious
best water ever, best water ever
quite good, great tea
ok, great product
made great, great product
excellent, great popcorn
these are weird, not bad
love this coffee, great coffee
mm tasty, great taste
great product but price keeps going up, great taste
pasta couscous, great product
great taste keep me up, great taste
melted from, stale
these are great, not what expected
dog gone good, great product
good product, great product
false dont waste your money, not bad
very good, great tea
good flavor, good
disgusting, awful
pistachio is pistachio is pistachio, good but not too expensive
sugar free gum, great gum
yum, great taste
my husband loves this product, great sauce
great cereal, great cereal
gluten free bread that actually tastes good, great gluten free
you need to try this, great flavor
the best popcorn have ever tasted, great popcorn
sweet and sour pops got sweet pops, not as pictured
yum, great taste
tastes pretty good, not bad
incredible price, great product
wonderful, maple syrup
an excellent product, great product
great flavor, best tasting
thai sticky sweet rice, great rice
very good, great tea
not happy, not as pictured
wolfgang puck dark roast, weak
you just do not need the caffeine, great coffee
delicious but purchase elsewhere, great product
fun, fun
great treat for my dog, great dog food
kind chocolate cherry cashew, yummy
better then the big box store, good product
it is of taste, great coffee
disappointed, not what expected
delicious just like salt and vinegar chips, great snack
great bargain great fruit very impressed, great product
great big good tasting cup of coffee, great coffee
not my cup of tea, not bad
cups work great coffee fantastic, great coffee
best chocolate waffle have found, great product
great and easy, great gluten free
tasty alternative to peanut butter, great taste
yum, great popcorn
love it, great product
good chips, great chips
full flavored, good coffee
product treat for dogs with allergy issues, great product
honey almond flax granola kashi bars, yummy
best hot cocoa yet, best hot cocoa ever
delicious curry, dented cans
zico water is the best, zico coconut water
great price, great product
remember bars, great snack
must have, great product
good price good product, good stuff
paris tea by harney sons, great tea
excellent sugar free cooked pudding, great product
great package, great product
best bean soup in bag, great soup
great product, good product
classic candy gum very, great gift
refreshing and the chocolate, chocolate
awesome, great snack
catnip, cats love it
handy package for equal, great coffee
scrumptious, delicious
wonderful, great dog food
excellent quality assortment, great product
sugar substitute, great taste
love these, great product
perfect for our food allergy child, great snack
misleading, not as pictured
my dogs for more, dogs love them
perfect for stir fry, good stuff
delicious, good stuff
amazing, great tea
wow, delicious
really tasty, great cereal
great for pops, great product
best birthday gift loved by as well, great gift
delicious, delicious
yum, delicious
lemon drops, best ever
too good to pass up, delicious
yummy, delicious
yummy, delicious
price, not as pictured
macadamia nuts, delicious
tastes good, great taste
how can you go wrong, great product
yummy, great for
check you before you buy, good product
dried blueberries, great product
best green tea, great tea
use it as an, great product
delicious, great product
difference in my dog, my puppy loves these
favorite and great deal, great coffee
as advertised, good product
kona coffee review, not bad
not the same flavor, not good
yummy, great product
superb, best tea ever
the perfect snack, great snack
cups amazon, great product
good bites skin coat, dog treats
they are kind of gross, great snack
delish, great snack
tasty and timely, great taste
awful not as described not gummies, awful
tasty but too sweet, not good
best instant, great hot cocoa
coffee lover, great coffee
very good, great tea
great flavor from, good coffee
why do their organic foods contain, great product
most rich cup yet on keurig, great coffee
very good but little bland, good but not too salty
the best, love these
dogs it, dogs love them
very fragrant and potent, great tea
would buy again, great product
where is the lime, not what expected
great jam true wild mountain jam, great
it has msg, not bad
love them, great snack
love bar pop chips, great snack
bad product, great product
love it, best jerky ever
perfect, great gift
yuck, good coffee
great chocolate and berry taste, chocolate
coconut water, great taste
awesome and tasty, delicious
disappointed, not bad
idea but, not good
dog loves them, my dog loves these
amazing exotic flavor, great product
bone dog treats pack, great dog food
great item great customer service, great product
good coffee to start off your day, good coffee
why use color, great product
pop chips love them, great snack
great with beer, pork rinds
horrible rubbery not at all like noodles, good stuff
couscous thing, great product
pure himalayan salt the healthy salt, great salt
not gluten free, great crackers
high quality low carb, great product
good memories, great taste
wonderful, great snack
kona blend, great coffee
space saver does not well, great product
great product no experience, great popcorn
not best for espresso, good coffee
just okay, not bad
great taste, great taste
my favorite hot sauce, best ramen ever
great, great
too close to expiration, expiration date
average, good coffee
satisfying, great coffee
cookies for tea time, cookies
for boxes, rip off
best tortilla chips ever, great chips
not bad at all, delicious
satisfied, great product
our dog loves these biscuits, my dog loves these
favorite tea, great tea
for treats, my cats love this
tasty, cats love it
best chips have ever tasted, great chips
pineapple, great taste
makes flavoring very easy, not bad
awesome stuff, good stuff
wow amazing taste healthy wonderful meal replacement, great taste
the tin is more than the coffee, not the best
nasty after taste, not bad
beware, not bad
for box it is okay, good product
great cocoa for the price, great cocoa
like in the mouth, not what expected
dried whole ghost, delicious
yum, great for
product, great product
great, not as advertised
the best tea in the world, great product
yum, great coffee
yummy, great taste
great product, great product
so nice to get of home, great product
great tea, great tea
loved it, great jerky
short and sweet, best chips ever
disappointed, great product
amazing cookies, delicious
down flour, great flour for baking
mint tea, great tea
awesome, great product
smooth move really helps move, great tea
great as cookies, great
good product, great product
fun decadent dessert, yummy
simply the best, delicious
not for peanut butter, good stuff
great product, great product
great value, great product
yum, popcorn
soothing after drink, refreshing
adults love them too, great snack
great product great price, great product
ginger tea, not what expected
dog loves it, great dog food
good product, great product
lo carb pizza flavor snacks, delicious
excellent product, great product
good strong coffee, good coffee
pop chips on the go, great chips
great taste but cheaper at bed, great coffee
better than being in, delicious
clean, my dog loves this
will not eat anything else, cats love it
yum, great snack
great product, great dog food
love this stuff, great seasoning
smooth to the last drop, great coffee
the best low carb too, best bbq sauce ever
delicious treats, great treats
real chocolate, not as good as hoped
tug jug lasts minutes, not as pictured
good with, good
perfect, delicious
paste in plastic, not bad
gluten free, delicious
wonderful, good
nice smooth bold brew, great coffee
amazing, delicious
awesome, great salt
great toy for golden, dog treats
hot chocolate, chocolate
good healthy product, great product
so yummy, great taste
will not well, great taste
probably little too big for the, not for the money
weak flavor, not the best
more cups than expected, great product
tasty, great chips
good coffee and less expensive, great coffee
olive salad, great product
tasty, great product
the best market iced green tea, great tea
very nice tangy flavor, good but not too salty
like most low carb snacks but, not bad
horrible not what expected, not bad
my loved these, great coffee
totally addicting, these are great
choice seasoning, great seasoning
tasty, great product
yuck, not bad
green mtn breakfast blend cups, great coffee
an excellent dog training treat, my dog loves these
good stuff, delicious
yumm gluten free or not, delicious
bold and beautiful, great coffee
lab loves these chews, my dog loves these
it is yoo hoo, not so good
amazing flavor, best drink
crunchy, great chips
if you like gummy white bread, great bread
yummy, delicious
healthy and at the time, great taste
surprisingly moist, great gluten free snack
for mom, great product
dr kracker makes good variety of crackers, good stuff
great taste, great popcorn
large black tea bags, great product
sugar is the second, not what expected
great energy, great energy drink
great coffee, great coffee
greatest tasting water since, not fan
my new granola bar, great breakfast
bob, great product
greenies yum, great product
zuke mini naturals dog treats salmon, my dog loves these
altoids spearmint mints, great taste
one great dip, best ever
meh, not as good as other brands
exotic pantry stuff pomegranate molasses, great product
better than gluten filled, great gluten free pasta
great coffee, great coffee
good, good product
great coffee, great coffee
this tea is lovely all year long, great tea
for tea and coffee, great product
review, not as pictured
info, chocolate
so good so fruity, not what expected
healthy snack, great snack
very good, my dog loves these
great little pudding, great product
fish tea, great tea
greenies for, greenies
organic prunes, great
do not buy it is addicting, great product
coffee drink with kick, great coffee
incredible addition for cooking, great product
great for all dogs, great product
our favorite, great flavor
gold dust is awesome, great product
will buy again, good but not too expensive
great product, great product
pure and healthy without, best
good product, great product
best cashews, great product
the best gummy bears, haribo gummi bears
product, great product
cat treats, my cat loves these
our dog loves these, great treats
delicious strong japanese black coffee candy, good coffee
chocolate goji, chocolate liquor bottles
best treat ever, dogs love them
peach, not so good
good lime taste, delicious
homemade goodness, great product
sausage sticks, not what expected
spread, not bad
surprisingly good, great snack
not to my taste, not what expected
delicious, delicious
great and yummy, great for
fun, good
good but not special, not bad
like it lot, great product
nature variety dog food, dogs love them
sweet snack, great taste
tea, great product
fantastic, best ramen ever
country, great product
healthy treat for dogs with allergies, my dog loves these
worst bar ever, not bad
my pups love it, dogs love them
incorrect product, not what expected
busy buddy, great toy
disappointed, not what was hoping for
these are spicy, not bad
my first subscription order received, great product
soy chips expired, not the best
great product, great snack
spicy but good, spicy
steak it makes great gift, great gift
not as fresh as expected, not what expected
not worth it, not for my dog
great buy, great product
way cheaper at club or costco, great product
great product bad price on here, not bad
best value, great product
only tea cups, great tea
not great for making hot chocolate, chocolate heaven
the best, great taste
beautiful and yummy, delicious
can chicken, great product
smoked paprika, not bad
we love it, great
too delicious, great taste
hands down favorite, best jerky ever
sour coffee, not good
savory, yummy
dog cookies, my dog loves these
jello review, good product
melted, stale
made both of my dogs sick, my dog loves these
great product even vendor, great product
nice, good coffee
service good product not as expected, my dog loves these
amazing, great product
tart cherry concentrate, great taste
place is amazon, great product
this stuff is delicious, great product
old goodness, great for cooking
my favorite cheese curls, delicious
dogs love them, dogs love them
product good seller bad, great product
am glad can still buy this, great product
like cheez its, sent the
amazing product to, great product
can eat an box in day, delicious
great corn taste, great taste
not very good, good but not too salty
best sun butter ever by far, delicious
spice it up, great product
great deal on amazon with, great product
fine but premium pricing, good product
awesome, my dog loves it
prefer this to regular brownies, best bloody mary
hot, best hot sauce
these are amazing, great snack
wonderful, great popcorn
love the tea, great tea
none such, great product
would not buy it again, not for me
van houtte house blend, not bad
great cup of coffee, great coffee
disappointed, not what expected
great coffee for an espresso machine, great coffee
cet dog chews, dog food
natural concentrate from china, not what expected
great stuff, great product
great gluten free brownies, best gluten free pasta
flavors taste great, not bad
the perfect dog food, dogs love them
mm, delicious
no high fructose corn syrup, great taste
special, great product
great treats, great dog food
sprouting seeds, not bad
big flavor no calories, not the best
yummy and good for you too, my dogs love these
great, great product
disappointing, not what expected
sweet and chewy, great
great price and quality product, not what expected
yummy, yummy
disgusting artificial flavor, coconut water
could not find these anywhere else, yummy
probably lbs from this bag, gummi bears
great variety, great product
not really brand, not bad
popcorn, great popcorn
smooth taste not bitter, great coffee
good tea but check for freshness, great tea
best tasting hot sauce, best pepper sauce ever
four leaf balsamic vinegar for good price, best ever
great stuff, great gift
love the scent, great taste
it is all about the convenience, great product
grey decaf tea, great tea
great gift idea, great gift
it is ok, not bad
organic salad mix, seeds
quick and healthy, great noodles
not worth the money, not the same as expected
shipping, dented cans
the best gluten free baking mix, great gluten free pasta
tastes like water, not fan
the best, not for the money
great taste, great taste
over priced, great product
used to better, not what expected
not bad, good
delicious and at great price, love this stuff
great tasting coffee, great coffee
stuff, not bad
grow some grass man, grow grow grow
great coffee, great coffee
my favorite adult cereal, great cereal
crackers for cheese, great product but not too soon
amazon has it it is the best, great syrup
these are delicious, delicious
amazing, great product
not just for baby food, baby food
great disposable cups, great coffee
delicious and healthy, great breakfast
love this, great product
highly, great taste
great product, great product
best coffee ever, best coffee
butter toffee lover, great coffee
not bad good in oatmeal, great product
not happy, not bad
it is delicious, great sauce
tastes like the real thing, great pasta
teenie lite greenies, great treats
check out beyond first, great product
great as marinade, great product
an excellent green tea, great tea
lemon ginger tea, great tea
my dog favorite treat, my dog loves these
old broken and stale, melted
classic, great
almond coconut vanilla, great taste
gummi bear heaven, great taste
not organic, not for the money
best ever, best ever
quality product, great product
excellent gum, great gum
do not like it, great taste
jalapeno heaven, great chips
excellent flavor, great tea
great awesome snacks, great snack
yumm, great tea
pure deliciousness, great product
two paws up, dogs love them
moist and delicious great for weight, great gluten free pasta
best of, best bbq sauce ever
delicious, great syrup
good gum with out all the junk, great gum
eating it for years, best rice ever
english and tea, great tea
organic base, not too salty
love it, great gift
yummy and good for us, delicious
melted bears, gummi bears
great coffee, great
vita coco, great product
good, great product
jiffy pop popcorn, not what expected
good stuff, chocolate
be bold, good tea
convenient, great for
better than my starbucks, best coffee
excellent tea with aroma, great tea
yummy, great
excellent, great tea
prefer the whole slices, great product
good buy, good product
love my kashi cereal, great cereal
mm, great taste
pb, delicious
tasty, good stuff
great product, my dog loves these
yummy and nothing fake, yummy
these are awesome, good
love this treat, my dog loves these
are an awesome treat for canine kids, dogs love them
did not like at all, yuck
mm good tea, great tea
crunchy good, cats love it
pirate booty, delicious
these are great, dogs love them
delicious, great taste
best hot olives on the market, great product
excellent, great
great product, great product
amount of your milk, great product
best price, great product
cet chews, dogs love them
read the, the best
great wine, great product
great tea for bagged tea, great tea
very effective tea, great tea
wonderful, delicious
love disposakups, great coffee
disappointed, not bad
poor customer service, not as pictured
cheap and not worth the price, good product
great ingredients but dogs eat it, not for dogs
luv it, great
hot chocolate, great hot cocoa
just ok nothing special but dairy free, not good
delicious english style tea, great tea
effective for water, not bad
favorite seasoning, best seasoning ever
not good, not bad
kid food, great product
this is fine quality pure saffron, rip off
disappointed, not as good as expected
best mustard ever, love this mustard
love this product works amazing, great product
belly birthday, great product
delicious and nutritious, great taste
food for my dog, great product
dogs would not eat these, not for dogs
great cocoa, great cocoa
did not work for me, not bad
yummo am coffee, great coffee
eating gluten free, delicious
dog dental checkups, great product
disappointed, tastes like sugar
is great, great hot sauce
looking to the treat, sent the gift
really good and great shelf life, great product
not edible, not bad
last for days, my dog loves these
yum delicious crackers, delicious
good coffee, good coffee
best marzipan, delicious
medicine, not bad
extremely chocolately, delicious
well worth the wait, great coffee
amazing, best ever
fig are not for, good
tooth treat, great treats
over priced and, not as good as expected
the best tea ever, great tea
delicious, delicious
use, good but not great
delish, great product
mom loved it, great product
excellent, great taste
not watermelon, great tasting
great oolong shot, great tea
good vanilla coffee, good coffee
nice bread, best gf bread
love this flavor, best coffee
tea, not bad
love it, great
great coffee, great coffee
sf bay cup, good coffee
great as is, great cereal
wonderful flavor, great
overpriced and over roasted, good coffee
healthy yummy, great gluten free snack
coffee pods, great coffee
disappointing, not as pictured
lindt truffles, great hot chocolate
little stale, not as pictured
poor, not what expected
delicious, great snack
tastes great, great product
biscuits, great product
tart cherries, delicious
makes you sick, great product
good eating, great product
coffee flavoring, great coffee
great snack, great snack
same price in, good coffee
great product, great product
starbucks at home, great coffee
great coffee, great coffee
best tea bags you can buy, not bad
coffee beans, great beans
prompt delivery, great gift
is the best, great coffee
sweet, refreshing
smells good, not the best
fantastic ketchup, best ever
yummy, love these
my dog loves liver, great product
san francisco bay coffee, great coffee
twix king package little old, great product
best sauce around, delicious
great product but could be little cheaper, great product
tasty blend, good coffee
my cats this, my cats love this
flavor wish it had longer shelf life, great flavor
want my money back, not as good as expected
the least sweet energy bars have found, good but not too sweet
lifesavers, great
it is none, great product
tea for the summer, great tea
great coffee but, great tea
just what we were looking for, delicious
dogs love them, my dog loves these
cookie, best cookie ever
super ginger taste, ginger
pb powdered peanut butter, delicious
ok but little sweet, good flavor
fun new to me product, great product
truffle cream, great seasoning
dog approved, great dog food
not so tasty, not so good
much blend than the original, tea
picky, my dog loves these
delicious and healthy yay, delicious
almost like the real thing, zico coconut water
good stuff, great snack
not lab durable, not durable
excellent product, great product
decaf option mild flavor, decaf
great way to buy this product, cats love it
pb, great product
deceptive, great gluten free crackers
easy taco night, great product
poor packaging for liquid items, not as advertised
so yummy, yummy
flavor, not bad
directions say to, great product
another thumbs up for, cats love it
love the sugar cookies, delicious
wonderful coffee, great coffee
my dogs love these, dogs love them
addictive, great seasoning
disappointed, great chips
smells pretty bad, not bad
cajun jerky, great snack
little bit of dessert in every bottle, best instant cocoa
yum, great taste
are you people even the right thing, not the best
what my dogs have to say, great product
great stuff, great taste
good coffee, great coffee
hot chips, best bbq ever
not bad, not bad
syrup pump, not what expected
works great, great product
quality, great chips
really like this coffee, great coffee
fantastic, great coffee
yummy, yummy
best flavor, great tea
for no big deal popcorn, not what expected
new favorite coffee, great coffee
honey, great taste
too sweet, not bad
not that great, popcorn
not has fish oil and, great product
very good chips, great chips
organic good deal for money heart health, good product
it is not organic, not what expected
it is not easy being cheesy, delicious
great treat for dogs, great treats
