original_summary,predicted_summary
stale, cookies
very weak flavor, not good
better than ever, great taste
just like regular spaghetti, great gluten free pasta
all broken up, good product
watch out here comes, great snack
greenies dental chews, my dog loves these
excellent, great rice
bran buds now at your, great product
just okay had better, the best
excellent product, great product
oil this is very good for us, great product
great flavor with out the salt, great
better price is available, great product
my dog loves these, dog loves them
great cocoa, great coffee
sweet service five stars, great product
wonderful and flavorful even decaf, great coffee
yum, great taste
tea, great tea
heavenly taste experience, great product
love love love em, great stuff
feel the love of love crunch, great snack
different than your standard lemonade, tastes like
safe easy to chew tasty, my dog loves these
great pancakes, best ever
great product for dogs, great for training
high quality food but, good product
not potato chips, not good
excellent snack, great snack
greatest tea in the world, great tea
baking soda, great product
simply delicious, great product
clean fresh taste to me, great taste
loves it, my dog loves these
wonderfully convenient, great
great tasting, great tea
great quality cats love it, my cats love it
great pump for bottles purchased for, good product
as advertised, great for
yum, great product
arrived melted together, not bad
favorite of all, great tea
wonderful snack item, great snack
tasty but make sure you have gum, great chips
refreshing addition to water, not good
this product is of quality, great product
good taste and healthier choice, not bad
wonderful blend of flavors, great snack
pop tarts are awesome, great
convenient and tasty, great taste
wow, best ever
review, dogs love them
it really works, great product
delicious, great
tried this bar and loved it, great snack
great birthday gift, great gift
dont waste your money, not as good as expected
favorite, my dog loves these
quick and reliable service great product, great tea
love love them, love these
happy customer, great product
fast food at home, great product
double bagged, great product
for tough chewers, my dog loves it
addictive little cookie, love these
tastes awful, not bad
product, not as advertised
delightful, great product
very good gluten free pasta, great gluten free pasta
delish, great tea
what confused me, great product
great for kids, great product
good but little too sweet, chocolate
sauce, delicious
blech, not what expected
excellent gift item, great gift
one of my favorite spices, great stuff
amazing product, great product
healthy and refreshing, tastes like
love it, great
terrible beans, not bad
very flavorful, great taste
thank you, great
for company, great product
stale, good but not bad
loves these, my dog loves these
love it, great coffee
popchips, great chips
love love this, great product
love this tea, great tea
healthy and tasty, great snack
great quick cup of coffee, great coffee
horrible, not bad
another awsome jerky, great
should have better, not bad
southern pecan coffee, great coffee
no carb option, not good
long lasting favorite, my dogs love them
delicious, great coffee
almonds, great product
great product, great product
delicious, great product
simply superb, great product
tasteless, not as advertised
great dr pepper product, good stuff
good option, good product
love at first bite, great snack
bit pricey, good but not bad
great sprouting, great product
kind of gross, great taste
tea that works to clear all digestive, great tea
delicious, best hot chocolate
cocoa, great product
very weak, not bad
love it, great tea
not as advertised, not as advertised
last forever, best ever
best and tortilla chips, great chips
best water ever, great product
quite good, great tea
ok, great product
made great, great
excellent, great popcorn
these are weird, not as advertised
love this coffee, great coffee
mm tasty, great product
great product but price keeps going up, great taste
pasta couscous, great product
great taste keep me up, the best
melted from, not as good as expected
these are great, great taste
dog gone good, great product
good product, great product
false dont waste your money, not for
very good, great tea
good flavor, good stuff
disgusting, not bad
pistachio is pistachio is pistachio, not bad
sugar free gum, great product
yum, great taste
my husband loves this product, great
great cereal, great cereal
gluten free bread that actually tastes good, best gluten free bread
you need to try this, great flavor
the best popcorn have ever tasted, great popcorn
sweet and sour pops got sweet pops, not as pictured
yum, yummy
tastes pretty good, tastes like
incredible price, great product
wonderful, great product
an excellent product, great
great flavor, best jerky ever
thai sticky sweet rice, great rice
very good, great tea
not happy, not as advertised
wolfgang puck dark roast, not bad
you just do not need the caffeine, great coffee
delicious but purchase elsewhere, great snack
fun, great food
great treat for my dog, great product
kind chocolate cherry cashew, great tasting
better then the big box store, great product
it is of taste, great coffee
disappointed, not as advertised
delicious just like salt and vinegar chips, great snack
great bargain great fruit very impressed, great product
great big good tasting cup of coffee, great coffee
not my cup of tea, not bad
cups work great coffee fantastic, great coffee
best chocolate waffle have found, best ever
great and easy, great gluten free snack
tasty alternative to peanut butter, great snack
yum, great popcorn
love it, great product
good chips, great chips
full flavored, great coffee
product treat for dogs with allergy issues, my dog loves these
honey almond flax granola kashi bars, great snack
best hot cocoa yet, great hot cocoa
delicious curry, not as pictured
zico water is the best, great taste
great price, great product
remember bars, great snack
must have, great product
good price good product, great product
paris tea by harney sons, great tea
excellent sugar free cooked pudding, great product
great package, great product
best bean soup in bag, great stuff
great product, good stuff
classic candy gum very, great for
refreshing and the chocolate, good stuff
awesome, great taste
catnip, cats love it
handy package for equal, great coffee
scrumptious, great product
wonderful, great for training
excellent quality assortment, great product
sugar substitute, great product
love these, great snack
perfect for our food allergy child, great snack
misleading, not as advertised
my dogs for more, my dogs love these
perfect for stir fry, great product
delicious, good stuff
amazing, great tea
wow, great snack
really tasty, great cereal
great for pops, great product
best birthday gift loved by as well, great gift
delicious, great taste
yum, delicious
lemon drops, great product
too good to pass up, not good
yummy, great for gluten free
yummy, great snack
price, great product
macadamia nuts, great taste
tastes good, great product
how can you go wrong, great product
yummy, great product
check you before you buy, great product
dried blueberries, great product
best green tea, great tea
use it as an, great product
delicious, great product
difference in my dog, my dogs love them
favorite and great deal, great coffee
as advertised, not as pictured
kona coffee review, great coffee
not the same flavor, not good
yummy, great product
superb, great tea
the perfect snack, great snack
cups amazon, great coffee
good bites skin coat, great product
they are kind of gross, not good
delish, my son loves it
tasty and timely, great product
awful not as described not gummies, not as advertised
tasty but too sweet, not as good as good
best instant, hot sauce
coffee lover, great coffee
very good, great tea
great flavor from, great coffee
why do their organic foods contain, great product
most rich cup yet on keurig, great coffee
very good but little bland, good but not too sweet
the best, great product
dogs it, my dogs love it
very fragrant and potent, great tea
would buy again, great product
where is the lime, not bad
great jam true wild mountain jam, great coffee
it has msg, not as advertised
love them, great snack
love bar pop chips, great chips
bad product, good product
love it, delicious
perfect, great for
yuck, not bad
great chocolate and berry taste, great chocolate
coconut water, great product
awesome and tasty, great product
disappointed, not what expected
idea but, not for dogs
dog loves them, great for my cat
amazing exotic flavor, great product
bone dog treats pack, great product
great item great customer service, great taste
good coffee to start off your day, great coffee
why use color, good product
pop chips love them, great chips
great with beer, best ever
horrible rubbery not at all like noodles, great product
couscous thing, great product
pure himalayan salt the healthy salt, great product
not gluten free, great
high quality low carb, best ever
good memories, great cereal
wonderful, great snack
kona blend, great coffee
space saver does not well, not as good as advertised
great product no experience, great popcorn
not best for espresso, good coffee
just okay, not bad
great taste, great product
my favorite hot sauce, best hot sauce
great, great product
too close to expiration, great product
average, great coffee
satisfying, great coffee
cookies for tea time, great cookies
for boxes, not what expected
best tortilla chips ever, great chips
not bad at all, best ever
satisfied, great for
our dog loves these biscuits, great product
favorite tea, great tea
for treats, great product
tasty, my cats love it
best chips have ever tasted, great chips
pineapple, best
makes flavoring very easy, great product
awesome stuff, great
wow amazing taste healthy wonderful meal replacement, great snack
the tin is more than the coffee, not bad
nasty after taste, not bad
beware, not what expected
for box it is okay, good product
great cocoa for the price, great coffee
like in the mouth, not bad
dried whole ghost, delicious
yum, great for
product, great product
great, great product
the best tea in the world, great product
yum, great coffee
yummy, delicious
great product, great product
so nice to get of home, great for
great tea, great tea
loved it, great product
short and sweet, great snack
disappointed, cats love it
amazing cookies, great for
down flour, great product
mint tea, great tea
awesome, best ever
smooth move really helps move, great tea
great as cookies, best gluten free chocolate ever
good product, great product
fun decadent dessert, best chocolate ever
simply the best, best gluten free
not for peanut butter, good stuff
great product, great coffee
great value, great product
yum, great popcorn
soothing after drink, great product
adults love them too, great snack
great product great price, great product
ginger tea, not bad
dog loves it, great for dog food
good product, great product
lo carb pizza flavor snacks, delicious
excellent product, great product
good strong coffee, great coffee
pop chips on the go, great chips
great taste but cheaper at bed, good coffee
better than being in, great product
clean, my dog loves these
will not eat anything else, my cats love this
yum, great cookies
great product, great product
love this stuff, great
smooth to the last drop, great coffee
the best low carb too, great sauce
delicious treats, great treats
real chocolate, not good
tug jug lasts minutes, not for
good with, great snack
perfect, best ever
paste in plastic, not bad
gluten free, great product
wonderful, great
nice smooth bold brew, great coffee
amazing, great
awesome, great snack
great toy for golden, my dog loves these
hot chocolate, great coffee
good healthy product, great product
so yummy, delicious
will not well, great coffee
probably little too big for the, great product
weak flavor, great gum
more cups than expected, great tea
tasty, great chips
good coffee and less expensive, great coffee
olive salad, great product
tasty, great taste
the best market iced green tea, great tea
very nice tangy flavor, delicious
like most low carb snacks but, not good
horrible not what expected, good coffee
my loved these, great coffee
totally addicting, not good
choice seasoning, great product
tasty, great product
yuck, not bad
green mtn breakfast blend cups, great coffee
an excellent dog training treat, great for my dog
good stuff, great seasoning
yumm gluten free or not, great gluten free
bold and beautiful, great coffee
lab loves these chews, great product
it is yoo hoo, not bad
amazing flavor, the best
crunchy, great chips
if you like gummy white bread, best bread ever
yummy, great product
healthy and at the time, love these
surprisingly moist, not good
for mom, great gift
dr kracker makes good variety of crackers, great snack
great taste, great popcorn
large black tea bags, great product
sugar is the second, too salty
great energy, great product
great coffee, great coffee
greatest tasting water since, not what expected
my new granola bar, great snack
bob, great product
greenies yum, my dog loves these
zuke mini naturals dog treats salmon, my dog loves these
altoids spearmint mints, great product
one great dip, best ever
meh, not as good as hoped
exotic pantry stuff pomegranate molasses, great product
better than gluten filled, great gluten free
great coffee, great coffee
good, good product
great coffee, great coffee
this tea is lovely all year long, great tea
for tea and coffee, great tea
review, good product
info, not bad
so good so fruity, great tea
healthy snack, great snack
very good, my dog loves it
great little pudding, great product
fish tea, not as good as expected
greenies for, my dog loves these
organic prunes, great taste
do not buy it is addicting, great
coffee drink with kick, great taste
incredible addition for cooking, best ever
great for all dogs, my dog loves these
our favorite, great coffee
gold dust is awesome, great product
will buy again, not good
great product, great flavor
pure and healthy without, best ever
good product, great product
best cashews, best ever
the best gummy bears, great product
product, great product
cat treats, great product
our dog loves these, my dog loves these
delicious strong japanese black coffee candy, great coffee
chocolate goji, not bad
best treat ever, great treats
peach, not bad
good lime taste, great snack
homemade goodness, great taste
sausage sticks, great product
spread, not bad
surprisingly good, great snack
not to my taste, not as advertised
delicious, great product
great and yummy, great snack
fun, not as good as expected
good but not special, not good
like it lot, great product
nature variety dog food, great product
sweet snack, great snack
tea, great product
fantastic, the best
country, good stuff
healthy treat for dogs with allergies, my dog loves these
worst bar ever, not good
my pups love it, my dogs love these
incorrect product, not as advertised
busy buddy, great food
disappointed, not as pictured
these are spicy, not bad
my first subscription order received, great product
soy chips expired, not good
great product, great snack
spicy but good, great taste
steak it makes great gift, great product
not as fresh as expected, not what expected
not worth it, dog food
great buy, great gift
way cheaper at club or costco, great product
great product bad price on here, not as good as expected
best value, great product
only tea cups, great tea
not great for making hot chocolate, great taste
the best, good
beautiful and yummy, great product
can chicken, best ever
smoked paprika, good product
we love it, great for the
too delicious, great snack
hands down favorite, great taste
sour coffee, great coffee
savory, great cookies
dog cookies, greenies
jello review, good stuff
melted, good cookies
made both of my dogs sick, not for
great product even vendor, great product
nice, good coffee
service good product not as expected, great product
amazing, great product
tart cherry concentrate, great product
place is amazon, great for
this stuff is delicious, great
old goodness, great stuff
my favorite cheese curls, great snack
dogs love them, my dogs love these
product good seller bad, great product
am glad can still buy this, great tea
like cheez its, not as advertised
amazing product to, best ever
can eat an box in day, great snack
great corn taste, delicious
not very good, not good
best sun butter ever by far, delicious
spice it up, great flavor
great deal on amazon with, great product
fine but premium pricing, not good
awesome, great product
prefer this to regular brownies, the best
hot, great
these are amazing, great snack
wonderful, great popcorn
love the tea, great tea
none such, great product
would not buy it again, not as good as hoped
van houtte house blend, not bad
great cup of coffee, great coffee
disappointed, not good
great coffee for an espresso machine, great coffee
cet dog chews, great product
natural concentrate from china, great product
great stuff, best gluten free bread
great gluten free brownies, great gluten free pasta
flavors taste great, good product
the perfect dog food, my dog loves these
mm, good
no high fructose corn syrup, great product
special, great cereal
great treats, my dog loves these
sprouting seeds, not as advertised
big flavor no calories, great coffee
yummy and good for you too, my dogs love these
great, great
disappointing, great tea
sweet and chewy, great
great price and quality product, great product
yummy, great product
disgusting artificial flavor, not bad
could not find these anywhere else, great snack
probably lbs from this bag, great product
great variety, great product
not really brand, not as advertised
popcorn, great popcorn
smooth taste not bitter, great coffee
good tea but check for freshness, great tea
best tasting hot sauce, best hot sauce ever
four leaf balsamic vinegar for good price, great flavor
great stuff, great gift
love the scent, great taste
it is all about the convenience, great product
grey decaf tea, great tea
great gift idea, great for
it is ok, not as good as expected
organic salad mix, great product
quick and healthy, great
not worth the money, not as advertised
shipping, not as advertised
the best gluten free baking mix, great gluten free pasta
tastes like water, not bad
the best, great product
great taste, great flavor
over priced, great product
used to better, not as advertised
not bad, not good
delicious and at great price, great
great tasting coffee, great coffee
stuff, not bad
grow some grass man, great product
great coffee, great coffee
my favorite adult cereal, great snack
crackers for cheese, not as good as expected
amazon has it it is the best, great product
these are delicious, great gluten free snack
amazing, great product
not just for baby food, my dog loves it
great disposable cups, great coffee
delicious and healthy, great snack
love this, great product
highly, great
great product, great product
best coffee ever, great coffee
butter toffee lover, great coffee
not bad good in oatmeal, great product
not happy, great product
it is delicious, best sauce ever
tastes like the real thing, great product
teenie lite greenies, great for training
check out beyond first, great product
great as marinade, great product
an excellent green tea, great tea
lemon ginger tea, great tea
my dog favorite treat, great treats
old broken and stale, not what expected
classic, great
almond coconut vanilla, delicious
gummi bear heaven, great product
not organic, great food
best ever, best ever
quality product, great product
excellent gum, great gum
do not like it, great taste
jalapeno heaven, great chips
excellent flavor, great tea
great awesome snacks, great snack
yumm, great tea
pure deliciousness, great product
two paws up, dogs love them
moist and delicious great for weight, great gluten free snack
best of, great
delicious, great product
good gum with out all the junk, not bad
eating it for years, great rice
english and tea, great tea
organic base, not as advertised
love it, great product
yummy and good for us, yummy
melted bears, great product
great coffee, great flavor
vita coco, good stuff
good, great product
jiffy pop popcorn, great product
good stuff, great coffee
be bold, great tea
convenient, great for
better than my starbucks, great coffee
excellent tea with aroma, great tea
yummy, great product
excellent, great tea
prefer the whole slices, good but not too
good buy, great product
love my kashi cereal, great cereal
mm, great
pb, great snack
tasty, good tea
great product, my dog loves these
yummy and nothing fake, great snack
these are awesome, best ever
love this treat, my dogs love these
are an awesome treat for canine kids, great for training
did not like at all, not as advertised
mm good tea, great tea
crunchy good, my cats love these
pirate booty, great taste
these are great, my dogs love these
delicious, great coffee
best hot olives on the market, great
excellent, great
great product, great product
amount of your milk, great product
best price, great
cet chews, dogs love them
read the, great for
great wine, great product
great tea for bagged tea, great tea
very effective tea, great tea
wonderful, chocolate
love disposakups, great coffee
disappointed, good stuff
poor customer service, not as advertised
cheap and not worth the price, not what expected
great ingredients but dogs eat it, my dogs love it
luv it, great
hot chocolate, chocolate
just ok nothing special but dairy free, not good
delicious english style tea, great tea
effective for water, good product
favorite seasoning, best ever
not good, not bad
kid food, great for
this is fine quality pure saffron, great product
disappointed, good stuff
best mustard ever, great product
love this product works amazing, great product
belly birthday, great product
delicious and nutritious, great taste
food for my dog, great food
dogs would not eat these, not for dogs
great cocoa, great hot cocoa
did not work for me, not as advertised
yummo am coffee, great coffee
eating gluten free, great snack
dog dental checkups, great product
disappointed, not bad
is great, great
looking to the treat, great product
really good and great shelf life, best chocolate ever
not edible, not bad
last for days, my dogs love these
yum delicious crackers, great snack
good coffee, great coffee
best marzipan, best ever
medicine, not bad
extremely chocolately, not good
well worth the wait, the best
amazing, great product
fig are not for, great taste
tooth treat, great for dogs
over priced and, good coffee
the best tea ever, great tea
delicious, great taste
use, great product
delish, great product
mom loved it, great for baby food
excellent, delicious
not watermelon, good product
great oolong shot, great tea
good vanilla coffee, great coffee
nice bread, great product
love this flavor, great coffee
tea, not bad
love it, my son loves it
great coffee, great coffee
sf bay cup, great coffee
great as is, great cereal
wonderful flavor, hot chocolate
overpriced and over roasted, good coffee
healthy yummy, great snack
coffee pods, great coffee
disappointing, not as advertised
lindt truffles, best hot chocolate
little stale, not what expected
poor, not what expected
delicious, great snack
tastes great, great product
biscuits, good but not too sweet
tart cherries, good
makes you sick, great for the
good eating, great product
coffee flavoring, great coffee
great snack, great snack
same price in, good coffee
great product, great product
starbucks at home, great coffee
great coffee, great coffee
best tea bags you can buy, not bad
coffee beans, great coffee
prompt delivery, great product
is the best, great coffee
sweet, great taste
smells good, not good
fantastic ketchup, great product
yummy, great snack
my dog loves liver, my dog loves these
san francisco bay coffee, great coffee
twix king package little old, great gift
best sauce around, great product
great product but could be little cheaper, great product
tasty blend, great coffee
my cats this, cat food
flavor wish it had longer shelf life, good but not great
want my money back, not as advertised
the least sweet energy bars have found, good but not too sweet
lifesavers, great product
it is none, not as good as expected
tea for the summer, great tea
great coffee but, great tea
just what we were looking for, great product
dogs love them, my dog loves these
cookie, these are the best
super ginger taste, great taste
pb powdered peanut butter, great snack
ok but little sweet, not good
fun new to me product, great product
truffle cream, great product
dog approved, dog loves them
not so tasty, great product
much blend than the original, not bad
picky, my dog loves these
delicious and healthy yay, great snack
almost like the real thing, not bad
good stuff, good but not too sweet
not lab durable, not as good
excellent product, great product
decaf option mild flavor, great taste
great way to buy this product, cats love it
pb, great product
deceptive, great
easy taco night, great
poor packaging for liquid items, not as advertised
so yummy, love these
flavor, not bad
directions say to, not bad
another thumbs up for, my cats love this
love the sugar cookies, great snack
wonderful coffee, great coffee
my dogs love these, dogs love them
addictive, great product
disappointed, these are the best
smells pretty bad, not for
cajun jerky, great
little bit of dessert in every bottle, great taste
yum, great product
are you people even the right thing, not bad
what my dogs have to say, great treats
great stuff, great product
good coffee, great coffee
hot chips, best gf chocolate
not bad, not as good as expected
syrup pump, great product
works great, great product
quality, great chips
really like this coffee, great coffee
fantastic, great coffee
yummy, great gluten free snack
best flavor, great tea
for no big deal popcorn, good product
new favorite coffee, great coffee
honey, great product
too sweet, not bad
not that great, great product
not has fish oil and, good product
very good chips, great chips
organic good deal for money heart health, great product
it is not organic, not bad
it is not easy being cheesy, best ever
great treat for dogs, great for training
